essay_id,score,score_bin,grade,ell,prompt_id,word_count,token_count,regime,half_life,delta_max,delta_128,delta_late,ppl_W32,ppl_W64,ppl_W128,ppl_W256,ppl_W384,ppl_W512,auc,log_slope,ratio_128_32,ratio_512_128,slope_early,slope_late
408959B1EA22,2,low,11,ELL,Summer projects,698,790,extended,92.42438834095346,1.7904806469483887,1.2000666618729865,0.5904139850754024,10.017717725800852,9.36602914508341,8.817651063927867,8.544413885303928,8.323447791994058,8.227237078852465,666.5276559298163,0.6309615658462894,0.5430436503421651,0.4919843237324195,0.8656651109101637,0.43532748689818956
7F2C6238F4AA,2,low,9,non_ELL,Does the electoral college work?,631,851,extended,124.69036714981247,1.4226111113428723,0.7526213592265734,0.6699897521162992,13.095166407663942,13.141489084595008,12.342545048437367,11.68475143876722,11.609614144697668,11.67255529632107,531.7590787974675,0.6357432039732064,-0.06154844845045182,0.8902082619669559,0.5429015513116456,0.509766337282231
BD7F5D94AFED,2,low,10,non_ELL,Car-free cities,564,804,extended,161.37126487831534,6.631018309528994,2.580085705828907,4.050932603700087,27.09166823490981,25.58174814408249,24.511582529080908,21.690766422559165,21.015968130179186,20.46064992538082,2213.5546093155444,2.4955547998468526,0.5852209046451929,1.570076759290694,1.8611384264339301,2.927798601128598
B6D776FC5087,2,low,9,non_ELL,Does the electoral college work?,726,821,extended,266.2764414188973,2.340917624270923,0.6829870589194673,1.6579305653514558,10.19577457506712,9.903842302244731,9.512787516147654,9.115808746655464,7.988657679035232,7.854856950796198,650.1448234338557,0.8617736987242891,0.42743455971807964,2.4274699552498413,0.49267102144722563,1.2953032502110717
2E57A0350FFD,1,low,6,non_ELL,"""A Cowboy Who Rode the Waves""",693,811,extended,178.58025907875435,1.4247152099741482,0.64344654031696,0.7812686696571882,9.35376223364528,9.09881174047488,8.710315693328319,8.53592717815601,7.999406485874851,7.929047023671131,443.2306877981948,0.5214942880947674,0.396226379653565,1.2141935976100442,0.4641485663962207,0.6095230182361328
8FFBD4C432B4,2,low,10,non_ELL,Car-free cities,498,792,extended,160.3838023939013,5.481528603001936,2.273243301115368,3.208285301886568,13.691001990283482,12.860237927111283,11.417758689168114,9.569838320785848,9.220354959584604,8.209473387281546,1708.677632156618,2.0043718640556336,0.3654532107340132,1.411325087953595,1.6397984186265995,2.1947026626697683
057DACBB2B12,1,low,9,non_ELL,Does the electoral college work?,902,1218,extended,254.89960936660088,3.2830339818321868,1.112234365771883,2.170799616060304,15.991708550699329,15.529103238419829,14.879474184927446,14.345601966119103,13.192854539867126,12.708674568867142,908.0486851535676,1.1605347693117083,0.4159243110227538,1.9517465768590812,0.8023075019026886,1.6080134036497442
961D937626F7,1,low,9,non_ELL,Does the electoral college work?,734,966,extended,145.3691527948309,0.9276087005789186,0.4097731593940015,0.5178355411849171,9.896232645306128,9.629436384853795,9.486459485912128,9.088282757529797,8.986509613347927,8.96862394472721,331.3735343666069,0.3532047569195163,0.6510828109066226,1.2637126891149464,0.2955888524735631,0.3856435842175424
129497C3E0FC,1,low,10,non_ELL,Car-free cities,762,1007,extended,89.1514822304105,3.3267964764253843,2.167130315738593,1.1596661606867915,17.708933218433685,16.371663469135907,15.541802902695093,15.268225280929236,14.440295726464146,14.3821367420083,1215.9446477410934,1.148220680160176,0.6170693749175926,0.53511602521769,1.5632540797381012,0.9163410087739636
57E6768B4C73,1,low,10,non_ELL,Car-free cities,674,835,extended,345.0551752233258,1.7325283364248565,-1.5631887183209052,3.295717054745761,15.984589230080342,16.48194429103754,17.547777948401247,15.825464672820363,14.809084996120724,14.252060893655486,107.77513892254683,0.6822242233820415,,,-1.1276023059475726,2.405988958322375
