doc_id,mean_nll_0,mean_gain_128,rel_improve_128
ECSC_1018_1_82M_1018_YR1,4.279646513538976,1.7907033778006032,0.4184231973681895
ECSC_1018_2_82M_1018_YR2,3.8306151974585743,1.9652981076029044,0.5130502559763204
ECSC_4013_1_82M_4013_YR1,3.945052608366935,0.8448195303640058,0.2141465816126901
ECSC_1005_1_83F_1005_YR1,4.7409019624033295,1.588155773762734,0.33499021628315684
ECSC_1005_2_83F_1005_YR2,3.917351215116439,1.5289054682177885,0.3902906286058764
ECSC_1005_3_83F_1005_YR3,3.9311048107762496,1.8795587258954205,0.47812480622318393
ECSC_4068_1_84F_4068_YR1,4.03756963668331,1.5604351377294912,0.38647881724495076
ECSC_1094_1_84M_1094_YR1,4.585737855972782,1.7457374172825966,0.38068844581005157
ECSC_1094_2_84M_1094_YR2,3.856151165500764,1.639219178691987,0.425092043423333
ECSC_1094_3_84M_1094_YR3,4.298291599365973,2.0954418983190286,0.4875057566192393
ECSC_1038_1_85F_1038_YR1,4.392725790700604,1.6889267694565553,0.384482631042441
ECSC_1038_2_85F_1038_YR2,4.291589552356351,1.746040517284024,0.4068517028440753
ECSC_1038_3_85F_1038_YR3,4.745223285305884,1.83712642346659,0.3871527877635301
ECSC_1016_1_85M_1016_YR1,4.031433050094113,1.8468802762608376,0.4581200415117207
ECSC_1016_2_85M_1016_YR2,4.600375710764238,1.878230594435046,0.408277652201373
ECSC_1016_3_85M_1016_YR3,4.148470847837386,1.6433829238337858,0.3961418518079952
ECSC_1048_1_85M_1048_YR1,3.868162681210426,1.457303698408988,0.37674312548637906
ECSC_1048_2_85M_1048_YR2,3.909825820692124,1.8921100477057116,0.48393717123970675
ECSC_1048_3_85M_1048_YR3,4.365762215275917,1.864043336529886,0.4269685898163554
ECSC_1058_1_86F_1058_YR1,4.3268528415310765,1.678218556796351,0.3878612511819343
ECSC_1058_2_86F_1058_YR2,4.248475333183043,1.7045872113397045,0.4012232807440107
ECSC_1058_3_86F_1058_YR3,4.424445942909487,1.7346517064879017,0.3920607752633556
ECSC_1076_1_87M_1076_YR1,3.9042280012561426,1.3283371710969554,0.34023042984927554
ECSC_1076_2_87M_1076_YR2,4.157941815160935,1.6619357376329362,0.3997015378072601
ECSC_1076_3_87M_1076_YR3,4.319485663598583,1.6552622101960643,0.3832081731733444
ECSC_1086_1_87M_1086_YR1,3.718844235327936,1.5746980313331849,0.4234374799498222
ECSC_1086_2_87M_1086_YR2,4.1807143519001615,1.5825449178295752,0.37853457199492674
ECSC_1086_3_87M_1086_YR3,3.9671387703188,1.60720019648152,0.4051283026714906
ECSC_2002_1_87M_2002_YR1,4.739371711977066,1.8989887306767128,0.4006836446016037
ECSC_1075_1_88F_1075_YR1,4.112027961977067,1.3504586318808218,0.3284166947229415
ECSC_1075_2_88F_1075_YR2,4.457480959738456,1.576373614515028,0.35364674100762106
ECSC_1075_3_88F_1075_YR3,4.320048529101956,1.5598521055713777,0.3610728201462211
ECSC_4011_1_88F_4011_YR1,4.635271404635522,1.655405197989556,0.35713231297180603
ECSC_1078_1_88M_1078_YR1,4.248238249747984,1.837066408126585,0.4324301746107494
ECSC_1078_2_88M_1078_YR2,4.594961609378938,1.7927068848763743,0.3901462160678812
ECSC_1078_3_88M_1078_YR3,4.670461183978665,1.999703169061292,0.4281596806587285
ECSC_1002_1_89F_1002_YR1,4.317863378217144,1.831517443349284,0.4241721617661562
ECSC_1002_2_89F_1002_YR2,4.226315652170489,1.6385533798125482,0.3877025557641546
ECSC_1002_3_89F_1002_YR3,4.201047512792772,1.8274187027446689,0.43499120092784616
ECSC_1030_1_89F_1030_YR1,3.946611896637948,1.7343061660566637,0.4394417823384381
ECSC_1030_2_89F_1030_YR2,4.269792199903918,1.9216429218890203,0.4500553731706809
ECSC_1030_3_89F_1030_YR3,3.8585486258229897,1.9552676836809808,0.5067365668519835
ECSC_1054_1_89F_1054_YR1,4.019227796985257,1.9997886808649183,0.497555446437975
ECSC_1054_2_89F_1054_YR2,4.190129144730107,1.8049450116772807,0.4307611888161839
ECSC_1054_3_89F_1054_YR3,3.554772510067109,1.7440788414930146,0.4906302264220247
ECSC_1026_1_89M_1026_YR1,4.1786488071564705,1.7620302990559609,0.42167465618030847
ECSC_1026_2_89M_1026_YR2,4.379395441855154,1.5959076212298489,0.3644127693921623
ECSC_1026_3_89M_1026_YR3,3.971289770064815,1.668578904626831,0.4201604519530183
ECSC_1031_1_90F_1031_YR1,4.455995668903474,2.0858162303124703,0.4680920685961406
ECSC_1031_2_90F_1031_YR2,4.594050961156045,2.0301315599872227,0.4419044492872498
ECSC_1031_3_90F_1031_YR3,4.173289286705756,1.9343579437463512,0.46350919163652415
ECSC_1044_1_90F_1044_YR1,4.680891370004224,1.6838303975520597,0.359724305576128
ECSC_1044_2_90F_1044_YR2,4.3452320375750135,1.652147664994963,0.3802208146097057
ECSC_1044_3_90F_1044_YR3,4.132324249513687,1.9067988435106895,0.4614349524326634
ECSC_1060_1_90M_1060_YR1,4.766638417397776,1.7590703679669286,0.36903792860530166
ECSC_1060_2_90M_1060_YR2,3.960775246158723,1.62885988546956,0.41124774425140037
ECSC_1060_3_90M_1060_YR3,4.476963701555805,1.951295306990224,0.4358523850242794
ECSC_1040_1_91F_1040_YR1,4.415882565898281,2.1513798379128977,0.4871913611396645
ECSC_1040_2_91F_1040_YR2,4.4804350545329426,1.959405620924888,0.4373248573132468
ECSC_1040_3_91F_1040_YR3,4.179376177633962,2.035277272905073,0.48698111545854883
ECSC_1027_1_91M_1027_YR1,4.230573648022067,1.576847952412021,0.37272674667872746
ECSC_1027_2_91M_1027_YR2,4.852783688422173,2.0144108618459393,0.4151041940426778
ECSC_1027_3_91M_1027_YR3,4.29013917984501,1.7907865816547026,0.4174192273452999
ECSC_4070_1_91M_4070_YR1,4.429883101678664,1.9016511590250076,0.429277955055833
ECSC_1098_1_92M_1098_YR1,4.794633213166268,1.2868225489893268,0.26838811057656237
ECSC_1098_2_92M_1098_YR2,4.285101539857926,1.512893457181992,0.3530589516047156
ECSC_1098_3_92M_1098_YR3,4.156217312043713,1.8531684450564847,0.4458786213335021
ECSC_1034_1_93F_1034_YR1,4.244593328045261,1.7527503309711332,0.41293716394223273
ECSC_1034_2_93F_1034_YR2,4.988428445016185,2.489487327491083,0.49905242802034544
ECSC_1034_3_93F_1034_YR3,4.369450193835843,1.6468639614120604,0.3769041614744475
ECSC_1087_1_93F_1087_YR1,4.944841151083669,1.6612824962985129,0.33596276311817225
ECSC_1087_2_93F_1087_YR2,3.955602067516696,1.922098594711673,0.4859180882970757
ECSC_1087_3_93F_1087_YR3,4.5271279734949905,2.029598586020931,0.448319242995479
ECSC_4019_1_93M_4019_YR1,4.389260599690099,1.8476739830547764,0.4209533567419602
ECSC_1008_1_94F_1008_YR1,4.098311190451345,1.7274234937083337,0.4214964197284622
ECSC_1008_2_94F_1008_YR2,4.420756539990824,1.9750511351131623,0.44676767816697316
ECSC_1008_3_94F_1008_YR3,4.252787565415906,1.8686850789694056,0.4394024037705856
ECSC_1009_1_94F_1009_YR1,4.388249046571793,2.254926673539223,0.5138556744633321
ECSC_1009_2_94F_1009_YR2,4.573374742077243,2.178139039681804,0.47626515702767136
ECSC_1009_3_94F_1009_YR3,4.244906870011361,2.1891827215590784,0.515719847006495
ECSC_1012_1_94F_1012_YR1,4.257911214520854,1.8539619865917392,0.4354158396420125
ECSC_1012_2_94F_1012_YR2,4.47167324558381,1.66447013751153,0.37222534968433746
ECSC_1012_3_94F_1012_YR3,3.988118541625238,1.5111412111789948,0.3789108060371682
ECSC_1021_1_94F_1021_YR1,4.255359280493951,1.5563687700898416,0.3657432116775772
ECSC_1021_2_94F_1021_YR2,4.295004072496967,1.658595004389363,0.3861684357903561
ECSC_1021_3_94F_1021_YR3,4.429368852799938,1.7294126860557064,0.39044223760287927
