doc_id,gain_256,n_early,n_late,I_256_early,I_256_late,I_256_rel_early,I_256_rel_late,raw_diff,norm_diff
ECSC_1017_1_64F_1017_YR1,5.505924318834829,3,3,8.16498755936853,2.9676490306117294,1.482945839164098,0.5389919764170945,-5.1973385287568,-0.9439538627470034
ECSC_1017_3_64F_1017_YR3,6.598220323127919,3,3,2.5852934319135374,4.11656271001277,0.39181677866251774,0.6238898533872076,1.531269278099233,0.23207307472468985
ECSC_1018_1_82M_1018_YR1,13.024660392061403,3,3,11.597659497501331,14.509876152596519,0.8904385333970138,1.1140310546170065,2.912216655095188,0.22359252121999262
ECSC_1020_2_65M_1020_YR2,7.283458220800585,3,3,6.031598700838246,4.512922560475353,0.828122921555698,0.6196126103376344,-1.518676140362893,-0.20851031121806363
ECSC_1020_3_65M_1020_YR3,4.371595245490914,3,3,2.131691294800396,2.976572478719895,0.4876232073404168,0.6808893119256828,0.8448811839194987,0.193266104585266
ECSC_1021_1_94F_1021_YR1,6.103484230368165,3,3,5.91415230673632,5.773835181468189,0.9689796980731407,0.9459900220172942,-0.14031712526813145,-0.022989676055846453
ECSC_1021_2_94F_1021_YR2,11.331730140650766,3,3,4.818107195691246,9.614921113818573,0.4251872517160516,0.8484954190116637,4.796813918127327,0.4233081672956121
ECSC_1021_3_94F_1021_YR3,13.158113347754172,3,3,12.186076124173914,17.145430839040724,0.9261263983756329,1.303031094649075,4.9593547148668105,0.37690469627344214
ECSC_1022_1_106M_1022_YR1,8.569931898409331,3,3,5.829315451183791,6.515625007616787,0.6802055745933959,0.7602890063602669,0.6863095564329962,0.08008343176687094
ECSC_1022_2_106M_1022_YR2,4.098974750996741,3,3,2.6331498337933277,3.0441985985307833,0.6423923038689197,0.7426731764548024,0.41104876473745566,0.1002808725858827
ECSC_1022_3_106M_1022_YR3,12.253363417693198,3,3,28.138012511669853,4.980399637006929,2.2963501164945517,0.406451638397952,-23.157612874662924,-1.8898984780965997
ECSC_1023_2_76F_1023_YR2,17.789160113635404,3,3,34.1756513528702,3.541830066748283,1.9211503598011095,0.19910046590864441,-30.633821286121915,-1.722049893892465
ECSC_1023_3_76F_1023_YR3,6.727503471465843,3,3,5.344511143624921,7.625033973032291,0.7944271104865614,1.1334121201680907,2.2805228294073707,0.3389850096815292
ECSC_1024_1_82F_1024_YR1,11.922126314301233,3,3,14.202339220597613,10.459736441093481,1.1912589118906702,0.8773381664767689,-3.742602779504132,-0.31392074541390136
ECSC_1024_2_82F_1024_YR2,6.529216186566413,3,3,7.146217667987625,3.79960500242573,1.0944985529336075,0.581938917912269,-3.3466126655618953,-0.5125596350213385
ECSC_1024_3_82F_1024_YR3,9.002596886999509,3,3,5.430700132304544,12.696339300990608,0.6032370659789202,1.4102974353239304,7.265639168686064,0.8070603693450101
ECSC_1025_2_75F_1025_YR2,8.865807977709446,3,3,17.697577570680384,3.7042757415698007,1.9961607126136627,0.4178159227994955,-13.993301829110584,-1.5783447898141671
ECSC_1026_1_89M_1026_YR1,3.5988067999144624,3,3,3.598433777452211,2.2958878868361654,0.9998963482945903,0.6379580829097953,-1.3025458906160456,-0.361938265384795
ECSC_1026_2_89M_1026_YR2,8.753562481145343,3,3,9.80285367407768,11.324369459943975,1.1198701894448628,1.2936869399557038,1.5215157858662955,0.173816750510841
ECSC_1026_3_89M_1026_YR3,4.1983222862939655,3,3,3.7145347909751814,5.175467828621422,0.8847664704307769,1.2327466725261875,1.460933037646241,0.3479802020954106
ECSC_1027_1_91M_1027_YR1,4.520715173697045,3,3,6.427821125242551,1.8812338295360853,1.4218593470877467,0.4161363318091129,-4.546587295706466,-1.0057230152786338
ECSC_1027_2_91M_1027_YR2,13.36964344563709,3,3,13.710750089647311,10.309261808072971,1.0255135183968973,0.7710947453454481,-3.4014882815743395,-0.2544187730514492
ECSC_1027_3_91M_1027_YR3,11.840626169204153,3,3,7.975007233852412,8.4784960600252,0.6735291799511679,0.7160513252311441,0.5034888261727888,0.04252214527997622
ECSC_1028_1_67M_1028_YR1,24.63390798896285,3,3,29.53717970591009,43.431894944525574,1.1990456292661371,1.7630939826512755,13.894715238615483,0.5640483533851384
ECSC_1030_1_89F_1030_YR1,1.6429478893906126,3,3,1.8447626730013555,1.4000872056367777,1.122836996178618,0.8521799228556697,-0.44467546736457786,-0.2706570733229483
ECSC_1030_2_89F_1030_YR2,7.637792965846513,3,3,2.3776320298166174,8.620929346753961,0.31129830835275846,1.1287199568387993,6.243297316937344,0.8174216484860408
ECSC_1030_3_89F_1030_YR3,3.0029560849385897,3,3,3.980872287837663,0.9415089818226564,1.3256511834468174,0.3135273894096624,-3.0393633060150065,-1.012123794037155
ECSC_1031_1_90F_1031_YR1,1.5585879989899813,3,3,2.3233107656172547,0.6564986791867407,1.4906510040644736,0.4212137393667694,-1.666812086430514,-1.0694372646977042
ECSC_1031_2_90F_1031_YR2,6.274765863953569,3,3,9.883267862511088,2.5370261483260403,1.575081537191237,0.4043220421817501,-7.346241714185048,-1.1707594950094868
ECSC_1031_3_90F_1031_YR3,9.29495174022778,3,3,11.994195666549137,1.6553338807681275,1.2903989177952642,0.17808956162773604,-10.33886178578101,-1.1123093561675281
ECSC_1032_3_64M_1032_YR3,10.451467012647239,3,3,10.294968072908432,7.095421574703804,0.985026126997346,0.6788924048765298,-3.1995464982046284,-0.30613372212081624
ECSC_1034_1_93F_1034_YR1,2.676628888726426,3,3,2.1114562392575027,3.2084430377146163,0.7888490810775641,1.1986880404781235,1.0969867984571136,0.40983895940055937
ECSC_1034_2_93F_1034_YR2,18.37553215358265,3,3,20.522128926873034,11.988839753088747,1.1168182099625268,0.6524349691146931,-8.533289173784286,-0.46438324084783367
ECSC_1034_3_93F_1034_YR3,12.52080204479361,3,3,24.16034179868852,1.5082766944781583,1.9296161469731767,0.12046166763776356,-22.65206510421036,-1.809154479335413
ECSC_1035_1_79M_1035_YR1,6.85246690141729,3,3,2.1317874420421763,8.49235214678889,0.3110978094036851,1.2393131216777458,6.360564704746714,0.9282153122740606
ECSC_1035_2_79M_1035_YR2,6.699489988113589,3,3,6.928487809988476,9.287992287833797,1.034181381311291,1.3863730379943544,2.359504477845321,0.3521916566830634
ECSC_1035_3_79M_1035_YR3,5.895527500805313,3,3,6.075354995946051,6.644990444896369,1.0305023587993059,1.127123984069056,0.5696354489503177,0.09662162526975004
ECSC_1036_1_66M_1036_YR1,5.2754095806093115,3,3,4.769716324511486,6.107010289576189,0.904141422884663,1.1576371836650505,1.3372939650647027,0.2534957607803875
ECSC_1036_2_66M_1036_YR2,4.248201909374258,3,3,6.698513036857381,5.009452045708625,1.576787822178641,1.1791934923466234,-1.6890609911487564,-0.3975943298320177
ECSC_1036_3_66M_1036_YR3,7.511708503453659,3,3,13.380851172679451,6.40102158364557,1.7813325911844604,0.852139241119723,-6.979829589033881,-0.9291933500647375
ECSC_1037_2_63M_1037_YR2,4.860057866991493,3,3,4.226005150972746,4.951263584075135,0.8695380315684919,1.0187663850060493,0.7252584331023888,0.14922835343755747
ECSC_1037_3_63M_1037_YR3,2.1846436567747087,3,3,2.819847294202653,3.3662063992746916,1.2907584655548472,1.5408491855575104,0.5463591050720384,0.2500907200026632
ECSC_1038_1_85F_1038_YR1,10.262130550668822,3,3,8.158716034571652,12.23708398788579,0.7950314015484744,1.1924506248937023,4.078367953314137,0.39741922334522795
