doc_id,target_idx,target_pos,target_pos_frac,pos_frac,pos_bin,I_512,I_256,age_months,age_group,task,token_count
ECSC_4061_1_122M_4061_YR1,6,326,0.6104868913857678,0.6104868913857678,mid,,16.747166181744713,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,7,338,0.6329588014981273,0.6329588014981273,mid,,27.41478833513248,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,8,350,0.6554307116104869,0.6554307116104869,mid,,18.85661904554435,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,9,362,0.6779026217228464,0.6779026217228464,late,,8.606186712417648,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,10,373,0.6985018726591761,0.6985018726591761,late,,1.132745718493393,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,11,385,0.7209737827715356,0.7209737827715356,late,,4.729667405798102,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,12,397,0.7434456928838952,0.7434456928838952,late,,6.474834007839736,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,13,409,0.7659176029962547,0.7659176029962547,late,,3.6296058162856424,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,14,421,0.7883895131086143,0.7883895131086143,late,,4.428518285051119,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,15,432,0.8089887640449438,0.8089887640449438,late,,0.9806576322545536,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,16,444,0.8314606741573034,0.8314606741573034,late,,1.22538790347307,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,17,456,0.8539325842696629,0.8539325842696629,late,,2.671151997656003,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,18,468,0.8764044943820225,0.8764044943820225,late,,1.427983884168837,122,10+yr,unknown,533
ECSC_4061_1_122M_4061_YR1,19,480,0.898876404494382,0.898876404494382,late,,2.043916827667749,122,10+yr,unknown,533
ECSC_4077_1_123F_4077_YR1,0,256,0.8178913738019169,0.8178913738019169,late,,6.671479167464554,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,1,256,0.8178913738019169,0.8178913738019169,late,,6.671479167464554,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,2,257,0.8210862619808307,0.8210862619808307,late,,7.491372714174686,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,3,258,0.8242811501597445,0.8242811501597445,late,,7.992794974052842,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,4,259,0.8274760383386581,0.8274760383386581,late,,8.258357602198897,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,5,260,0.8306709265175719,0.8306709265175719,late,,8.275241535287616,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,6,261,0.8338658146964856,0.8338658146964856,late,,7.316111240892724,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,7,262,0.8370607028753994,0.8370607028753994,late,,7.0836140407525985,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,8,263,0.8402555910543131,0.8402555910543131,late,,7.291043235016316,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,9,264,0.8434504792332268,0.8434504792332268,late,,6.884115838223602,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,10,264,0.8434504792332268,0.8434504792332268,late,,6.884115838223602,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,11,265,0.8466453674121406,0.8466453674121406,late,,6.8977056603257125,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,12,266,0.8498402555910544,0.8498402555910544,late,,6.672407314592991,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,13,267,0.853035143769968,0.853035143769968,late,,6.52185975480335,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,14,268,0.8562300319488818,0.8562300319488818,late,,5.922625308505392,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,15,269,0.8594249201277955,0.8594249201277955,late,,7.249441611794097,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,16,270,0.8626198083067093,0.8626198083067093,late,,6.9579932304817955,123,10+yr,unknown,312
ECSC_4077_1_123F_4077_YR1,17,271,0.865814696485623,0.865814696485623,late,,6.718479062236717,123,10+yr,unknown,312
