subject_id,log_slope_local_mean,log_slope_local_std,auc_log_k_mean,auc_log_k_std,auc_linear_k_mean,auc_linear_k_std,mean_gain_128_mean,mean_gain_128_std,age_months_min,age_months_max,study_year_count
1016,0.43546036438712027,0.04858633629353715,4.548838811635979,0.5010469384375438,198.70309239253803,15.667914865883068,1.7894979315098898,0.12750649871103417,85,85,3
1017,0.39852582519613144,0.06463435359511899,4.332949165103942,0.8321431030419366,187.14621271526303,32.21353197267285,1.6775641882932313,0.31374099442356984,64,64,3
1018,0.46629535762414265,0.052614626635521924,4.760825044388067,0.4971791466320735,209.93179760950227,22.215230646410614,1.8780007427017538,0.12345711740264016,82,82,2
1020,0.3707449463968902,0.012191091704827172,3.866544622285953,0.16296159239696648,169.11382694855652,5.868063201441888,1.5392956127402604,0.06331811227412998,65,65,3
1021,0.3865122614440059,0.03783374540448991,4.025214955249424,0.19527853486195146,176.20905001791573,10.340200138655558,1.6481254868449702,0.08699573157005805,94,94,3
1022,0.42529512786437174,0.034247010927534315,4.3301606917403594,0.06326491907401567,190.4620755963749,6.495584361231357,1.7653732322396773,0.1270159174686121,106,106,3
1023,0.4135368114477101,0.0044064721313976,4.754274042716496,1.3270329041540385,201.8338099740846,39.449590713610036,1.801486157970403,0.2875684789894828,76,76,3
1024,0.3950021801197449,0.04481741258458534,4.124909504886341,0.20015373635235384,180.25367996430683,4.765469397393136,1.704952240855463,0.08833869964374233,82,82,3
1025,0.39376196923440115,0.020146368186967602,4.348506286076468,0.18879702987576674,186.4415984228093,6.060334474321473,1.6985200853757962,0.11208113188213897,75,75,3
1026,0.3874472492431524,0.03424961109727363,4.240892585373341,0.10319054893863153,182.61119223778607,6.682925960663875,1.6755056083042135,0.08327767071613652,89,89,3
1027,0.43232736065965943,0.04982827960691702,4.382259303106362,0.5995884762255608,193.5202382621586,23.947409255819956,1.7940151319708877,0.21879932033927105,91,91,3
1028,0.43114059941584576,0.06010086049320256,4.416240465075974,0.4785661960911962,194.31941580521644,19.82087865839914,1.8352867958366232,0.26279940929290957,67,67,3
1030,0.46846061298897324,0.04857674540532255,4.483559378375591,0.282901973492594,201.6348613041383,9.262444733645967,1.8704055905422214,0.11905858289248437,89,89,3
1031,0.5053209926528578,0.016889089527255062,4.686682710627328,0.44410238826500426,213.46435187269518,13.948255875263774,2.016768578015348,0.076608290072104,90,90,3
1032,0.45224586779203896,0.07428186975558063,4.56458794752833,0.4304829014053091,201.59135581104343,23.245041610019854,1.8559260836852494,0.17424693182382853,64,64,3
1034,0.4770639567982357,0.09266839335697229,4.349348296934455,0.45155394606538,199.2748072756875,26.602813296119223,1.9630338732914254,0.4589857409480858,93,93,3
1035,0.3916968763676972,0.03826265626721384,4.048106217030699,0.46299536902023225,177.58391741491775,8.242044197493744,1.6438481132269545,0.04836339653390307,79,79,3
1036,0.44758785584114924,0.04339483510653532,4.049818531913469,0.550828809293464,185.8798569134166,17.164269901325262,1.7588675063944634,0.13811427385240227,66,66,3
1037,0.34724661660835715,0.026519338241711717,3.801950003113299,0.37548662235146596,163.50146781193314,14.318986319857897,1.4699873355928288,0.12421198779781867,63,63,3
1038,0.41077913812243744,0.018778378850200946,4.318597672186962,0.3591024042675198,188.4878014295332,11.348393769738019,1.7573645700690566,0.07474596972935839,85,85,3
1039,0.3855145975370739,0.0078196021894269,4.113236573380359,0.22385613159485165,178.60733208575394,5.848346769428958,1.6153312679580463,0.013389563961988265,82,82,3
1040,0.4875005162904961,0.02225832395277464,4.838189398679375,0.2501209316974346,215.2590629130602,4.214020366708769,2.0486875772476196,0.09668713561772133,91,91,3
1041,0.3867853277204964,0.03728564844590448,4.1503953682288985,0.2668675021970682,179.45750555152532,11.81746790984862,1.6193190341354697,0.15560699429389463,80,80,3
1042,0.39315265779941094,0.03136062941873718,4.2920766278597045,0.22306555087538785,184.89086825895697,2.307285590692025,1.6739000113420588,0.014653992937683175,75,75,3
1044,0.42223198688215874,0.03015065455162662,4.531730253796874,0.5056570599596952,196.37304540047,17.51393899439452,1.7475923020192372,0.13878397251060093,90,90,3
