doc_id,n_windows,token_count,mean_nll_0,mean_gain_0,mean_nll_2,mean_gain_2,mean_nll_4,mean_gain_4,mean_nll_8,mean_gain_8,mean_nll_12,mean_gain_12,mean_nll_16,mean_gain_16,mean_nll_24,mean_gain_24,mean_nll_32,mean_gain_32,mean_nll_48,mean_gain_48,mean_nll_64,mean_gain_64,mean_nll_96,mean_gain_96,mean_nll_128,mean_gain_128,early_ratio,log_slope_local,log_slope_r2,auc_log_k,auc_linear_k,baseline_nll,subject_id,age_months,age_group,sex,study_year,task
ECSC_2009_2_68M_2009_YR2,10,404,4.633855462843373,0.0,4.457447075843811,0.1764083869995609,4.1328726530075075,0.5009828098358646,3.806812882423401,0.827042580419971,3.681973028182983,0.9518824346603886,3.6333768367767334,1.0004786260666385,3.471415376663208,1.1624400861801638,3.264072608947754,1.3697828538956178,3.192229914665222,1.4416255481781497,3.1146734237670897,1.519182039076282,3.0400062084197996,1.593849254423572,2.9855237722396852,1.648331690603687,0.606964382090004,0.3846184793722295,0.9685895435250815,4.077048231781388,177.61411285631115,2.9855237722396852,2009,68,5yr,M,2,
ECSC_2006_1_69F_2006_YR1,10,289,4.341691118671048,0.0,3.9916536033153536,0.3500375153556947,3.729190135002136,0.6125009836689119,3.259847378730774,1.081843739940274,3.083980345726013,1.2577107729450347,2.8938491135835647,1.4478420050874832,2.739631915092468,1.6020592035785797,2.6059732705354692,1.7357178481355788,2.4809290885925295,1.8607620300785186,2.424956178665161,1.916734940005887,2.3915796756744383,1.9501114429966098,2.3772480726242065,1.9644430460468416,0.7370241697773099,0.4444800468567032,0.9348057968018034,5.357171730867521,223.83642182407843,2.3772480726242065,2006,69,5yr,F,1,
ECSC_2015_1_69F_2015_YR1,10,613,4.52419194867534,0.0,4.3621399164199826,0.1620520322553575,4.096966004371643,0.4272259443036973,3.779480814933777,0.7447111337415635,3.5816850900650024,0.9425068586103379,3.4079075336456297,1.1162844150297104,3.317625951766968,1.2065659969083726,3.2468349814414976,1.2773569672338425,3.1352183699607847,1.3889735787145554,3.106505012512207,1.4176869361631332,3.043768382072449,1.4804235666028915,2.9686108410358427,1.5555811076394974,0.7175996221268116,0.36356957257344574,0.9419155642764183,3.8994693711950417,168.54408751995334,2.9686108410358427,2015,69,5yr,F,1,
ECSC_3001_1_69M_3001_YR1,10,346,3.979595085882372,0.0,3.838396763801575,0.1411983220807967,3.5069980204105375,0.47259706547183367,3.191440558433533,0.7881545274488386,2.979305553436279,1.000289532446092,2.8406228333711625,1.138972252511209,2.7094217002391816,1.2701733856431898,2.582450497150421,1.3971445887319502,2.485043302178383,1.4945517837039886,2.372931772470474,1.606663313411897,2.3047423511743546,1.6748527347080167,2.2247007131576537,1.7548943727247175,0.6490261010654426,0.4209473245849482,0.9682322429181225,4.2109143630338925,186.76126528055434,2.2247007131576537,3001,69,5yr,M,1,
ECSC_2010_1_70F_2010_YR1,10,268,4.246150552072832,0.0,4.143148946762085,0.10300160531074783,3.8650447368621825,0.3811058152106502,3.558189296722412,0.6879612553504206,3.3091614484786986,0.9369891035941341,3.1985646724700927,1.0475858796027402,3.076574277877808,1.1695762741950253,3.002425122261047,1.2437254298117855,2.8755234479904175,1.3706271040824154,2.855056029558182,1.3910945225146512,2.761366552114487,1.484783999958346,2.7519268453121186,1.4942237067607143,0.7010903888506577,0.3712811071458765,0.9408990805597818,3.729153227122226,165.15292223345853,2.7519268453121186,2010,70,5yr,F,1,
ECSC_2010_2_70F_2010_YR2,10,368,3.9994581653225807,0.0,3.7786017835140226,0.22085638180855774,3.516763597726822,0.4826945675957587,3.1061650693416594,0.8932930959809211,2.876189059019089,1.1232691063034919,2.738628178834915,1.2608299864876655,2.532626521587372,1.4668316437352087,2.4225743442773817,1.5768838210451988,2.328871789574623,1.6705863757479578,2.2806033343076706,1.71885483101491,2.152095818519592,1.8473623468029885,2.1085492610931396,1.8909089042294411,0.666785154836141,0.4501597830894534,0.9565274192673973,4.711924693483455,205.53031971858397,2.1085492610931396,2010,70,5yr,F,2,
ECSC_1073_1_70M_1073_YR1,10,973,4.398049449920654,0.0,4.235039902478457,0.16300954744219784,4.017191980779171,0.38085746914148333,3.583010545372963,0.8150389045476913,3.331113776564598,1.0669356733560562,3.2250170178711413,1.173032432049513,3.0413226544857026,1.3567267954349518,2.951501449942589,1.4465479999780655,2.901845243573189,1.4962042063474654,2.795901748538017,1.602147701382637,2.7265911430120466,1.6714583069086075,2.661264705657959,1.7367847442626954,0.6754046152953121,0.42143188142067634,0.9432808157688131,4.263848283602584,187.9131086334586,2.661264705657959,1073,70,5yr,M,1,one_frog_too_many
ECSC_1073_2_70M_1073_YR2,10,473,4.258046376320623,0.0,4.207761433720589,0.05028494260003491,4.000939810276032,0.2571065660445921,3.6486680090427397,0.6093783672778837,3.523353123664856,0.7346932526557677,3.4326807141304014,0.825365662190222,3.259833389520645,0.9982129867999785,3.226340389251709,1.0317059870689147,3.1115138798952104,1.1465324964254133,3.06483074426651,1.1932156320541136,2.9868852853775025,1.2711610909431212,2.8797012090682985,1.3783451672523253,0.5988091240132214,0.34284346968262014,0.9656364676215996,3.0826673325288234,141.278918473759,2.8797012090682985,1073,70,5yr,M,2,frog_on_his_own
ECSC_1073_3_70M_1073_YR3,10,433,4.489599837026288,0.0,4.3061110690236095,0.18348876800267938,4.123752617835999,0.36584721919029,3.8256279110908507,0.6639719259354376,3.544431871175766,0.9451679658505224,3.3867498099803925,1.1028500270458959,3.215581500530243,1.2740183364960456,3.162320536375046,1.3272793006512427,2.989147651195526,1.5004521858307622,2.8492766857147216,1.6403231513115668,2.7557903289794923,1.7338095080467961,2.7376340985298158,1.7519657384964726,0.6294929191893648,0.4435816277717528,0.9775655229977008,4.108688064908762,187.52602390098957,2.7376340985298158,1073,70,5yr,M,3,one_frog_too_many
ECSC_1047_1_71F_1047_YR1,10,231,3.58895034405493,0.0,3.4604354467242957,0.1285148973306341,3.145666042342782,0.44328430171214767,2.577265804260969,1.0116845397939604,2.477401876449585,1.1115484676053446,2.2443861696869134,1.3445641743680161,2.049777203425765,1.5391731406291647,1.9181629817932844,1.6707873622616454,1.7844463426619768,1.804504001392953,1.7352645095437764,1.8536858345111533,1.7050093054771422,1.8839410385777875,1.673855608701706,1.915094735353224,0.7020875518829214,0.4838874230211101,0.9276981954855377,4.859179448651311,214.7981862984718,1.673855608701706,1047,71,5yr,F,1,one_frog_too_many
