target_idx,target_pos,target_pos_frac,I_512,I_256,doc_id,age_months,age_group
18,424,0.8778467908902692,,2.075085748055825,ECSC_4043_1_126F_4043_YR1,126,10+yr
19,434,0.8985507246376812,,2.254434996324016,ECSC_4043_1_126F_4043_YR1,126,10+yr
0,256,0.6772486772486772,,5.703178980242711,ECSC_4067_1_128F_4067_YR1,128,10+yr
1,260,0.6878306878306878,,6.823697418299529,ECSC_4067_1_128F_4067_YR1,128,10+yr
2,264,0.6984126984126984,,7.53222729539276,ECSC_4067_1_128F_4067_YR1,128,10+yr
3,268,0.708994708994709,,7.5276233742820144,ECSC_4067_1_128F_4067_YR1,128,10+yr
4,273,0.7222222222222222,,10.114616605448386,ECSC_4067_1_128F_4067_YR1,128,10+yr
5,277,0.7328042328042328,,8.96568984208045,ECSC_4067_1_128F_4067_YR1,128,10+yr
6,281,0.7433862433862434,,9.614696854579638,ECSC_4067_1_128F_4067_YR1,128,10+yr
7,286,0.7566137566137566,,15.10323774733363,ECSC_4067_1_128F_4067_YR1,128,10+yr
8,290,0.7671957671957672,,16.03723506293919,ECSC_4067_1_128F_4067_YR1,128,10+yr
9,294,0.7777777777777778,,29.982012583039904,ECSC_4067_1_128F_4067_YR1,128,10+yr
10,299,0.791005291005291,,38.216689874855746,ECSC_4067_1_128F_4067_YR1,128,10+yr
11,303,0.8015873015873016,,33.96965088521501,ECSC_4067_1_128F_4067_YR1,128,10+yr
12,307,0.8121693121693122,,28.933872218176493,ECSC_4067_1_128F_4067_YR1,128,10+yr
13,312,0.8253968253968254,,19.10417650161888,ECSC_4067_1_128F_4067_YR1,128,10+yr
14,316,0.8359788359788359,,15.201775334169689,ECSC_4067_1_128F_4067_YR1,128,10+yr
15,320,0.8465608465608465,,9.819010602233217,ECSC_4067_1_128F_4067_YR1,128,10+yr
16,325,0.8597883597883598,,13.288829182553034,ECSC_4067_1_128F_4067_YR1,128,10+yr
17,329,0.8703703703703703,,14.018992360634535,ECSC_4067_1_128F_4067_YR1,128,10+yr
18,333,0.8809523809523809,,4.954503119747537,ECSC_4067_1_128F_4067_YR1,128,10+yr
19,338,0.8941798941798942,,1.5024090497665883,ECSC_4067_1_128F_4067_YR1,128,10+yr
0,256,0.5150905432595574,,12.913291775863797,ECSC_4073_1_129F_4073_YR1,129,10+yr
1,266,0.5352112676056338,,7.143933247031332,ECSC_4073_1_129F_4073_YR1,129,10+yr
2,276,0.5553319919517102,,10.901104157042713,ECSC_4073_1_129F_4073_YR1,129,10+yr
3,286,0.5754527162977867,,2.710574845674195,ECSC_4073_1_129F_4073_YR1,129,10+yr
4,296,0.5955734406438632,,7.17209626531028,ECSC_4073_1_129F_4073_YR1,129,10+yr
5,306,0.6156941649899397,,3.313333120081408,ECSC_4073_1_129F_4073_YR1,129,10+yr
6,316,0.635814889336016,,1.739069164854092,ECSC_4073_1_129F_4073_YR1,129,10+yr
7,326,0.6559356136820925,,4.559883711881177,ECSC_4073_1_129F_4073_YR1,129,10+yr
8,336,0.676056338028169,,3.7656670002669763,ECSC_4073_1_129F_4073_YR1,129,10+yr
9,346,0.6961770623742455,,3.3986885249685095,ECSC_4073_1_129F_4073_YR1,129,10+yr
10,356,0.716297786720322,,2.767694710859253,ECSC_4073_1_129F_4073_YR1,129,10+yr
11,366,0.7364185110663984,,4.321806858358331,ECSC_4073_1_129F_4073_YR1,129,10+yr
12,376,0.7565392354124748,,11.981932058315996,ECSC_4073_1_129F_4073_YR1,129,10+yr
13,386,0.7766599597585513,,9.375947974346898,ECSC_4073_1_129F_4073_YR1,129,10+yr
14,396,0.7967806841046278,,5.480980919916018,ECSC_4073_1_129F_4073_YR1,129,10+yr
15,406,0.8169014084507042,,2.2791097237404276,ECSC_4073_1_129F_4073_YR1,129,10+yr
16,416,0.8370221327967807,,1.1778793207440978,ECSC_4073_1_129F_4073_YR1,129,10+yr
17,426,0.8571428571428571,,2.0070556096656063,ECSC_4073_1_129F_4073_YR1,129,10+yr
18,436,0.8772635814889336,,10.629274852462633,ECSC_4073_1_129F_4073_YR1,129,10+yr
19,447,0.8993963782696177,,16.46621827782531,ECSC_4073_1_129F_4073_YR1,129,10+yr
0,256,0.4421416234887737,,17.564000345638163,ECSC_4053_1_129M_4053_YR1,129,10+yr
1,269,0.46459412780656306,,26.05303706149602,ECSC_4053_1_129M_4053_YR1,129,10+yr
2,283,0.48877374784110533,,15.694525946897878,ECSC_4053_1_129M_4053_YR1,129,10+yr
3,297,0.5129533678756477,,6.919848273661376,ECSC_4053_1_129M_4053_YR1,129,10+yr
4,311,0.5371329879101899,,7.882666070143623,ECSC_4053_1_129M_4053_YR1,129,10+yr
5,325,0.5613126079447323,,4.002058264006927,ECSC_4053_1_129M_4053_YR1,129,10+yr
6,339,0.5854922279792746,,3.0945783121106683,ECSC_4053_1_129M_4053_YR1,129,10+yr
7,353,0.6096718480138169,,5.469793391615145,ECSC_4053_1_129M_4053_YR1,129,10+yr
8,367,0.6338514680483592,,9.987187935873617,ECSC_4053_1_129M_4053_YR1,129,10+yr
9,381,0.6580310880829016,,24.670384736444518,ECSC_4053_1_129M_4053_YR1,129,10+yr
10,395,0.6822107081174439,,31.34859567591463,ECSC_4053_1_129M_4053_YR1,129,10+yr
11,409,0.7063903281519862,,7.498149843850689,ECSC_4053_1_129M_4053_YR1,129,10+yr
12,423,0.7305699481865285,,0.9839583608035021,ECSC_4053_1_129M_4053_YR1,129,10+yr
13,437,0.7547495682210709,,2.454143757305105,ECSC_4053_1_129M_4053_YR1,129,10+yr
14,451,0.7789291882556131,,14.865154090219619,ECSC_4053_1_129M_4053_YR1,129,10+yr
15,465,0.8031088082901554,,6.633933007039959,ECSC_4053_1_129M_4053_YR1,129,10+yr
16,479,0.8272884283246977,,8.882573856717055,ECSC_4053_1_129M_4053_YR1,129,10+yr
17,493,0.8514680483592401,,46.296946626123,ECSC_4053_1_129M_4053_YR1,129,10+yr
18,507,0.8756476683937824,,16.74627723408566,ECSC_4053_1_129M_4053_YR1,129,10+yr
19,521,0.8998272884283247,16.828339892475594,16.485889343570705,ECSC_4053_1_129M_4053_YR1,129,10+yr
0,256,0.39083969465648855,,2.0778151899128066,ECSC_4046_1_132F_4046_YR1,132,10+yr
1,273,0.416793893129771,,6.702882611894182,ECSC_4046_1_132F_4046_YR1,132,10+yr
