doc_id,age_months,age_group,n_tokens,t_star,t_star_frac,I_512_star,baseline_512,top_share_512,n_eff_512,gini_512,n_positive_512,n_windows_512,ppl_full_512,top_share_256,n_eff_256,n_windows_256
ECSC_1014_2_76F_1014_YR2,76,6-8yr,735,661,0.8993197278911564,6.715296639685281,10.729769402337638,0.1317248275783711,18.116336317145773,0.5540426686971613,27,31,13.462363761955299,0.3928258191872587,5.107536688622302,15
ECSC_1014_3_76F_1014_YR3,76,6-8yr,706,635,0.8994334277620396,6.224786349940128,4.010162726440656,0.1715428651080622,16.928700760583155,0.5735870084495446,28,31,6.670023642196291,0.34388763867754296,8.46254974711602,15
ECSC_3005_1_77M_3005_YR1,77,6-8yr,589,515,0.8743633276740238,31.806824053014875,34.21740865560306,0.16278898494732655,21.568280955983656,0.4509866085584213,31,31,26.11556190792967,0.23753763564176153,11.341571952528161,15
ECSC_1004_1_78F_1004_YR1,78,6-8yr,630,517,0.8206349206349206,17.689156530265024,5.674632030575954,0.20199679845895765,18.05987240116675,0.5398821248954312,28,31,7.3370456133350235,0.20151604523624742,11.178384393473715,15
ECSC_1068_3_78M_1068_YR3,78,6-8yr,582,523,0.8986254295532646,3.854388529720481,4.890259708777834,0.31402155284465993,10.205060347530484,0.7389720623715265,26,31,13.794225597660365,0.27845683825196127,9.621144208843,15
ECSC_1003_2_82F_1003_YR2,82,6-8yr,633,569,0.8988941548183255,4.302926863446823,4.0889101862563555,0.1299277855080143,23.965862234781397,0.36454830849340275,31,31,13.041640019503104,0.24526214029384671,11.1634445039691,15
ECSC_1024_1_82F_1024_YR1,82,6-8yr,693,623,0.898989898989899,12.408192308872014,13.557459549603356,0.692222592532839,2.9941562179339853,0.9195399897262074,7,31,12.384116093026918,0.4600806300169512,5.164126010342139,15
ECSC_1024_2_82F_1024_YR2,82,6-8yr,861,746,0.8664343786295006,22.588419817779908,9.877458162022574,0.3853877128413003,7.337964634028247,0.8078328500232916,16,31,33.248184038947336,0.29136166972537636,5.207532652413504,15
ECSC_1039_2_82F_1039_YR2,82,6-8yr,672,604,0.8988095238095238,4.935657140171366,8.911694918509172,0.09362271535748576,23.078642047588115,0.40944265770435023,28,31,5.939400428351251,0.212654381376523,11.694887261931143,15
ECSC_1039_3_82F_1039_YR3,82,6-8yr,695,547,0.7870503597122303,7.256482925251511,4.220616119675063,0.3073094439245657,7.691221792513437,0.8043933687722333,25,31,11.31461694246347,0.21584242976621926,10.264804187831192,15
ECSC_1016_3_85M_1016_YR3,85,6-8yr,584,525,0.898972602739726,7.6085629291673875,7.8199856486566075,0.21313307031566514,14.401388136922447,0.6397022947885244,23,31,11.888887385490094,0.3072501206515141,7.214367853190006,15
ECSC_1058_2_86F_1058_YR2,86,6-8yr,802,721,0.899002493765586,8.185895763631637,6.148176069501571,0.522477957442515,5.56825485154047,0.8519963846754802,21,31,10.720840380171405,0.3162807892795125,9.035027295730323,15
ECSC_1058_3_86F_1058_YR3,86,6-8yr,1247,1122,0.8997594226142742,17.37241922899163,14.561645452122761,0.4803350329590486,5.24142517465069,0.8670460227344446,12,31,10.57221588588292,0.412420702368913,6.019886120738687,15
ECSC_1078_3_88M_1078_YR3,88,6-8yr,607,515,0.8484349258649094,19.30431602219842,10.177011407657178,0.07091627636794494,24.52641233730382,0.373062680821553,31,31,15.17104041786642,0.19083813902610675,12.798987549782787,15
ECSC_1002_2_89F_1002_YR2,89,6-8yr,615,537,0.8731707317073171,10.347506928154603,8.41428920406965,0.23739557668904582,14.094199256153207,0.6369772249134454,22,31,14.095779027510305,0.17304606724289795,13.137409456110218,15
ECSC_1030_2_89F_1030_YR2,89,6-8yr,603,526,0.8723051409618574,12.335807197977568,9.858808129699003,0.45468651041954866,6.4679519790742885,0.8257172810221892,19,31,9.281481982639365,0.41441357592203854,7.201500961696681,15
ECSC_1044_1_90F_1044_YR1,90,6-8yr,695,547,0.7870503597122303,45.210392119031184,23.98757868572776,0.24421180700765321,17.588956283261425,0.5304278635666698,29,31,14.742332627264194,0.17831842411103513,10.56057963023544,15
ECSC_1044_2_90F_1044_YR2,90,6-8yr,814,732,0.8992628992628993,4.778011417766951,7.6827759115577665,0.15052672926188707,20.62380075330865,0.4667959209912872,27,31,16.42303507591938,0.2659387369490866,9.161228848187422,15
ECSC_1060_2_90M_1060_YR2,90,6-8yr,677,609,0.8995568685376661,0.6376011073957208,8.151067694751744,0.5271244714597167,4.175651363564934,0.8960889809005032,10,31,12.228911701170903,0.735936143874085,2.2694343812230557,15
ECSC_1040_1_91F_1040_YR1,91,6-8yr,743,602,0.8102288021534321,7.795155515005721,11.576849188265246,0.5997963726691707,3.0458429573604886,0.9230740687730253,6,31,9.331707408040852,0.6723198134845146,2.7762788395895344,15
ECSC_1034_2_93F_1034_YR2,93,6-8yr,812,580,0.7142857142857143,19.030031555599106,16.13843346060709,0.28651493347803353,7.5027686166914584,0.8147769706277849,13,31,24.099851755631118,0.701279859376399,1.840019145390278,15
ECSC_1008_1_94F_1008_YR1,94,6-8yr,656,590,0.899390243902439,8.276077422305642,4.619646736742593,0.13316562138760715,26.102864511039435,0.2858616086234602,31,31,5.346362099363745,0.36014504925259855,8.08383603039309,15
ECSC_1008_2_94F_1008_YR2,94,6-8yr,608,547,0.899671052631579,7.266645649661996,9.370986056526684,0.35231739760731323,6.276221488452873,0.8419192274504143,10,31,8.414759745710034,0.22581474414150468,6.018923232457505,15
ECSC_1008_3_94F_1008_YR3,94,6-8yr,752,676,0.898936170212766,9.736686349434333,10.767122768658883,0.13271368172725378,26.161251051585168,0.28399343527511933,31,31,5.640363331876991,0.46964589163406784,6.911334576747897,15
ECSC_1009_1_94F_1009_YR1,94,6-8yr,698,530,0.7593123209169055,5.068964506787329,4.30244213644662,0.1033302706609389,25.246620954052545,0.3426709543598241,31,31,5.562354358573352,0.23467675686069006,9.237746495216443,15
ECSC_1009_2_94F_1009_YR2,94,6-8yr,1511,1359,0.899404367968233,15.721720287303329,10.951359212521938,0.14418480810323822,26.012691630556688,0.288192841646095,31,31,9.436121444659639,0.1973236310529959,11.992143557128648,15
ECSC_1009_3_94F_1009_YR3,94,6-8yr,764,687,0.8992146596858639,12.372466687040443,11.865790790500949,0.13388866611219322,22.391698846389975,0.42929650867567565,31,31,7.213082176315148,0.36475244424386233,7.267066877625801,15
ECSC_1021_1_94F_1021_YR1,94,6-8yr,966,869,0.8995859213250518,6.4589122783523205,7.3934424679310995,0.3255566004506981,5.193019660440566,0.8614639205402739,6,31,9.53326395448944,0.43761486145426437,4.641691133697079,15
ECSC_1021_2_94F_1021_YR2,94,6-8yr,1403,1262,0.8995010691375623,23.30244875472848,11.89440111691553,0.21647407147961573,15.46265769510557,0.6105624064764457,24,31,12.546056903840634,0.1494966026203686,11.149643784687925,15
ECSC_1021_3_94F_1021_YR3,94,6-8yr,990,891,0.9,19.733904600863113,14.840452887510512,0.17522210865925367,13.013158929106478,0.6754425947349796,23,31,13.347722387258964,0.21491380777459504,10.932073820146138,15
ECSC_1015_1_102F_1015_YR1,102,8-10yr,1110,999,0.9,5.034449398425327,9.620525361770701,0.16942903629037367,14.394912128884227,0.6405984413142639,23,31,4.3871199186385805,0.17027985007816054,12.511194023230992,15
ECSC_1015_2_102F_1015_YR2,102,8-10yr,1161,1044,0.8992248062015504,5.59930352074168,13.965958747314897,0.5784320477312944,4.8024108578159765,0.8686061979886052,13,31,9.128936087313306,0.4962984514574558,4.467659213814611,15
ECSC_1015_3_102F_1015_YR3,102,8-10yr,774,696,0.8992248062015504,5.258628650753025,8.163131278691898,0.12345641424229951,25.876111391977954,0.2954757113506279,30,31,10.544224827050948,0.4857919784167737,4.844426809983541,15
