essay_id,window_idx,target_start,k,nll_k,gain_k
B7C17E1993BA,6,325,48,3.5559730529785156,0.8568923704085813
B7C17E1993BA,6,325,64,3.621479034423828,0.7913863889632688
B7C17E1993BA,6,325,96,3.5884552001953125,0.8244102231917845
B7C17E1993BA,6,325,128,3.357400894165039,1.055464529222058
B7C17E1993BA,7,357,0,2.7109913364533456,0.0
B7C17E1993BA,7,357,2,2.5277117639780045,0.1832795724753411
B7C17E1993BA,7,357,4,2.1354293152689934,0.5755620211843522
B7C17E1993BA,7,357,8,1.8031752109527588,0.9078161255005868
B7C17E1993BA,7,357,12,1.8929557800292969,0.8180355564240487
B7C17E1993BA,7,357,16,1.979227900505066,0.7317634359482796
B7C17E1993BA,7,357,24,1.9797084331512451,0.7312829033021004
B7C17E1993BA,7,357,32,2.0456955432891846,0.665295793164161
B7C17E1993BA,7,357,48,2.035271644592285,0.6757196918610604
B7C17E1993BA,7,357,64,1.9604737758636475,0.7505175605896981
B7C17E1993BA,7,357,96,1.834052562713623,0.8769387737397225
B7C17E1993BA,7,357,128,1.4722869396209717,1.2387043968323739
B7C17E1993BA,8,400,0,3.5126751315209175,0.0
B7C17E1993BA,8,400,2,3.5154983401298523,-0.002823208608934813
B7C17E1993BA,8,400,4,3.619236469268799,-0.10656133774788135
B7C17E1993BA,8,400,8,2.9943490028381348,0.5183261286827827
B7C17E1993BA,8,400,12,2.5718454718589783,0.9408296596619392
B7C17E1993BA,8,400,16,2.5690642595291138,0.9436108719918037
B7C17E1993BA,8,400,24,2.4764605164527893,1.0362146150681282
B7C17E1993BA,8,400,32,2.510994791984558,1.0016803395363594
B7C17E1993BA,8,400,48,2.397852897644043,1.1148222338768745
B7C17E1993BA,8,400,64,2.161386728286743,1.3512884032341743
B7C17E1993BA,8,400,96,2.2709848880767822,1.2416902434441353
B7C17E1993BA,8,400,128,2.2634966373443604,1.2491784941765571
B7C17E1993BA,9,431,0,3.553752468478295,0.0
B7C17E1993BA,9,431,2,3.4487043619155884,0.10504810656270669
B7C17E1993BA,9,431,4,3.267389699816704,0.28636276866159127
B7C17E1993BA,9,431,8,3.0343713611364365,0.5193811073418586
B7C17E1993BA,9,431,12,2.775597557425499,0.7781549110527961
B7C17E1993BA,9,431,16,2.685245379805565,0.8685070886727302
B7C17E1993BA,9,431,24,2.6821201145648956,0.8716323539133994
B7C17E1993BA,9,431,32,2.724734306335449,0.8290181621428458
B7C17E1993BA,9,431,48,2.67571759223938,0.8780348762389152
B7C17E1993BA,9,431,64,2.670695662498474,0.883056805979821
B7C17E1993BA,9,431,96,2.7225255966186523,0.8312268718596427
B7C17E1993BA,9,431,128,2.76618355512619,0.7875689133521049
B7C17E1993BA,10,458,0,3.1543521265829764,0.0
B7C17E1993BA,10,458,2,2.939981758594513,0.21437036798846343
B7C17E1993BA,10,458,4,2.5693107545375824,0.585041372045394
B7C17E1993BA,10,458,8,2.583301305770874,0.5710508208121023
B7C17E1993BA,10,458,12,2.1032979786396027,1.0510541479433737
