span_size,score_bin,span_label,score_region,n,delta_nll_mean,delta_nll_sem,delta_nll_ci95,delta_nll_per_token_mean,delta_nll_normalized_mean,rank_displacement_mean,rank_displacement_median,baseline_nll_mean,ablated_nll_mean,flip_rate_mean,topk_change_mean
128,mid,immediate_pre_target,score_mid,50,0.07422412414399406,0.015308865715785356,0.0300053768029393,0.0005798759698749536,0.297244561705005,1.9136507936507934,0.0,2.089116217598082,2.1633403417420767,0.10031746031746032,0.17802229063765254
128,mid,immediate_pre_target,score_late,50,0.0451111491834085,0.007118032991341741,0.013951344663029813,0.0003524308529953789,0.24741292271276671,0.6492913385826768,0.0,2.0901835939452407,2.135294743128649,0.07968503937007873,0.13545345576146872
128,mid,random,score_early,50,0.05015575005894615,0.0065249553730474434,0.012788912531172989,0.0003918417973355168,0.10338216040521192,1.1519365079365078,0.0,2.2487975506555467,2.298953300714493,0.09546031746031744,0.1568374727281553
128,mid,random,score_mid,50,0.046791211832137324,0.00811148899130979,0.015898518422967186,0.00036555634243857284,0.2071412338347469,0.6064444444444445,0.0,2.0891162175980824,2.13590742943022,0.07761904761904762,0.13894475404905893
128,mid,random,score_late,50,0.0321046409456749,0.0041963627136360135,0.008224870918726587,0.0002508175073880852,0.19782342949590004,0.6813700787401572,0.0,2.0901835939452407,2.1222882348909153,0.068,0.12335793825150494
128,high,early,score_early,50,0.0324178466342744,0.01029150811135742,0.02017135589826054,0.0002532644268302687,0.05219005615752696,-0.1622222222222215,0.0,2.0994383593589543,2.1318562059932287,0.07555555555555556,0.1401600786717991
128,high,early,score_mid,50,0.03966054920166259,0.012308103780593722,0.024123883409963697,0.000309848040637989,0.1620051073772909,0.5431746031746026,0.0,2.048787072726659,2.088447621928321,0.07682539682539681,0.1330190444476159
128,high,early,score_late,50,0.050078373499742666,0.009478643259515546,0.01857814078865047,0.0003912372929667396,0.2673839141498336,0.7540157480314958,0.0,2.042106450486371,2.092184823986113,0.0779527559055118,0.13007441692761407
128,high,early_mid,score_early,50,0.07194972030700199,0.011065942581075322,0.021689247458907632,0.000562107189898453,0.13878098500738273,2.4333333333333336,0.0,2.0994383593589543,2.171388079665956,0.09174603174603174,0.15175366805618903
128,high,early_mid,score_mid,50,0.046792726176125655,0.014743719734917178,0.028897690680437668,0.0003655681732509817,0.16072391587034893,0.6428571428571425,0.0,2.048787072726659,2.0955797989027842,0.07873015873015872,0.13649567792056366
128,high,early_mid,score_late,50,0.03239316285125858,0.005740231231566573,0.011250853213870484,0.00025307158477545766,0.21410777850009993,0.4377952755905513,0.0,2.042106450486371,2.0744996133376294,0.07511811023622046,0.12646950779651103
128,high,late,score_early,50,0.03981321005594162,0.01060953890891043,0.020794696261464442,0.0003110407035620439,0.06792716798394392,0.49460317460317477,0.0,2.0994383593589543,2.139251569414896,0.09015873015873012,0.1525376335460369
128,high,late,score_mid,50,0.022789896859063054,0.005956878029097587,0.01167548093703127,0.0001780460692114301,0.12028821134129036,0.00571428571428549,0.0,2.048787072726659,2.0715769695857214,0.07365079365079365,0.13586413586413584
128,high,late,score_late,50,0.016451448098881046,0.003834431250587535,0.007515485251151568,0.00012852693827250817,0.14315397060991233,0.2718110236220474,0.0,2.042106450486371,2.058557898585252,0.07401574803149606,0.1181439195357676
128,high,immediate_pre_target,score_early,50,0.37934540442058023,0.02314637320328962,0.045366891478447656,0.002963635972035783,0.6949341836396798,24.003174603174603,0.0,2.0994383593589543,2.478783763779534,0.24222222222222217,0.31215011276119936
128,high,immediate_pre_target,score_mid,50,0.06878699370792937,0.016030217581523936,0.03141922645978691,0.0005373983883431982,0.3069814910763659,6.253650793650794,0.0,2.048787072726659,2.117574066434588,0.11460317460317458,0.16801260830672593
128,high,immediate_pre_target,score_late,50,0.03450963985262896,0.009302061450195243,0.018232040442382674,0.00026960656134866377,0.19910726866683132,2.727086614173229,0.0,2.042106450486371,2.076616090339,0.07700787401574803,0.13191491509609057
128,high,random,score_early,50,0.06409301318062675,0.007437054323817242,0.014576626474681794,0.0005007266654736465,0.11843883538493814,1.6505079365079367,0.0,2.0994383593589543,2.163531372539581,0.10028571428571427,0.16511402534541264
128,high,random,score_mid,50,0.03982315631896732,0.007443833632744545,0.014589913920179307,0.0003111184087419322,0.17293286020215828,1.1231746031746033,0.0,2.048787072726659,2.088610229045626,0.0863174603174603,0.1412498551759203
128,high,random,score_late,50,0.033216473789665676,0.0046568200240478,0.009127367247133688,0.0002595037014817631,0.21386688391531147,0.963716535433071,0.0,2.042106450486371,2.0753229242760365,0.07658267716535433,0.12545479443698648
256,low,early,score_early,50,0.1504497976151724,0.07579982341969103,0.14856765390259444,0.0005876945219342672,0.15901443439414525,11.139682539682537,0.0,2.335830642987811,2.4862804406029837,0.12825396825396826,0.22589159872294176
256,low,early,score_mid,50,0.153888871102106,0.0701169197664103,0.13742916274216418,0.0006011284027426016,0.407992552360727,7.483174603174603,0.0,2.2911781765922665,2.4450670476943728,0.13333333333333333,0.2071743488218499
256,low,early,score_late,50,0.06696469982777993,0.014032127801994447,0.027502970491909116,0.00026158085870226535,0.41829428202023344,3.1647244094488194,0.0,2.4548022527582063,2.5217669525859865,0.10929133858267714,0.1791785726469181
256,low,immediate_pre_target,score_early,50,0.43415134066627137,0.03053306823497561,0.05984481374055219,0.0016959036744776225,0.8262781044580022,36.15746031746032,0.0,2.335830642987811,2.769981983654083,0.2606349206349206,0.36975859837794095
256,low,immediate_pre_target,score_mid,50,0.10226027624947687,0.01617727646125024,0.03170746186405047,0.000399454204099519,0.5157689008120967,4.174920634920635,0.0,2.2911781765922665,2.393438452841744,0.13206349206349205,0.23431135106205137
256,low,immediate_pre_target,score_late,50,0.055450295313136805,0.007339017611201026,0.01438447451795401,0.00021660271606694064,0.4876260937545607,1.5825196850393701,0.0,2.4548022527582063,2.510252548071343,0.10330708661417322,0.17990493533617788
256,low,random,score_early,50,0.14714136785552612,0.03803841853969177,0.07455530033779587,0.0005747709681856489,0.22229215430777344,10.707777777777777,0.0,2.335830642987811,2.482972010843338,0.14168253968253966,0.23964835946510724
256,low,random,score_mid,50,0.146598997521022,0.06047796856636713,0.11853681839007957,0.0005726523340664922,0.47119809768158094,5.649619047619048,0.0,2.2911781765922665,2.4377771741132888,0.1273968253968254,0.211351095380286
256,low,random,score_late,50,0.051884151804165606,0.009599573230305747,0.018815163531399264,0.0002026724679850219,0.37592579220344335,1.4968818897637794,0.0,2.4548022527582063,2.506686404562372,0.09930708661417324,0.16879860838505192
256,mid,early,score_early,50,0.0923041909081595,0.014585641925232068,0.028587858173454852,0.00036056324573499805,0.17905114399030697,1.6285714285714286,0.0,2.2487975506555467,2.341101741563706,0.12507936507936507,0.21463601084049266
256,mid,early,score_mid,50,0.06605369916037905,0.012801645403680756,0.02509122499121428,0.00025802226234523067,0.29980989817750414,0.6958730158730159,0.0,2.089116217598082,2.155169916758462,0.10158730158730159,0.18275109992196828
256,mid,early,score_late,50,0.08349372058402839,0.010776322265241238,0.021121591639872827,0.0003261473460313609,0.47286089285903943,2.4516535433070867,0.0,2.0901835939452407,2.173677314529269,0.104251968503937,0.18350408450832625
256,mid,immediate_pre_target,score_early,50,0.4006495845128619,0.023989882032180273,0.047020168783073336,0.0015650374395033669,0.8080330819184448,20.548253968253967,0.0,2.2487975506555467,2.649447135168409,0.2746031746031747,0.3493975471566507
256,mid,immediate_pre_target,score_mid,50,0.13492332617441816,0.019806207072273343,0.03882016586165575,0.0005270442428688209,0.5768277237352064,2.469523809523809,0.0,2.089116217598082,2.2240395437725007,0.1514285714285714,0.2336993271933564
256,mid,immediate_pre_target,score_late,50,0.08180607183711737,0.010227816157069221,0.020046519667855672,0.0003195549681137397,0.4805195096249043,1.2499212598425193,0.0,2.0901835939452407,2.1719896657823576,0.12015748031496062,0.18965011501882864
256,mid,random,score_early,50,0.1144806804013631,0.012256731863830861,0.024023194453108486,0.0004471901578178246,0.2308883435268633,3.418476190476191,0.0,2.2487975506555467,2.36327823105691,0.15266666666666662,0.22728580984596025
256,mid,random,score_mid,50,0.09984324668324185,0.015979957247078538,0.031320716204273936,0.00039001268235641347,0.41542302115136814,1.3957777777777778,0.0,2.0891162175980824,2.188959464281324,0.12355555555555554,0.2014677193141737
256,mid,random,score_late,50,0.07941120199706614,0.011240708431461854,0.022031788525665234,0.0003102000078010396,0.48542157600291064,2.146692913385827,0.0,2.0901835939452407,2.1695947959423063,0.10930708661417322,0.1799867358588014
256,high,early,score_early,50,0.11237046241760253,0.014246240040625531,0.02792263047962604,0.00043894711881875987,0.20874144853581228,2.8003174603174608,0.0,2.0994383593589543,2.211808821776556,0.12920634920634919,0.21371950672333986
