essay_id,score,grade,ell,prompt_id,word_count,token_count,regime,burn_in_used,half_life,half_life_128,delta_max,delta_128,ppl_W32,ppl_W64,ppl_W128,ppl_W256,ppl_W384,ppl_W512,score_bin,length_bin
3BBD17BCB443,1,10,non_ELL,Exploring Venus,515,735,main,384,61.53175827660921,49.39335717098787,1.7733693743715353,1.0444636122112083,12.099201171309877,11.138408057531132,11.054737559098669,10.305626218397949,10.325831796938342,,low,7
63587869CADC,1,9,non_ELL,Does the electoral college work?,511,703,main,384,84.38834987544153,57.06712047350128,1.1781440393789193,0.7817637118322782,11.404283636332753,10.905294556093601,10.622519924500475,10.608463992074936,10.226139596953834,,low,7
5DD063D65899,1,9,non_ELL,Does the electoral college work?,532,743,main,384,119.56841248528836,92.2568131459575,3.0650014375220387,1.737424321022793,15.127181050071451,14.945230181926892,13.389756729048658,12.403727392849635,12.062179612549413,,low,7
1840AEC2DC71,2,9,non_ELL,Does the electoral college work?,501,682,main,384,85.38758811253085,50.51821530266492,3.469581827993059,1.9074996644431508,13.738203958218884,12.090097262607761,11.830704293775733,10.899564139224703,10.268622130225825,,low,7
C94D88474063,2,10,non_ELL,Car-free cities,482,693,main,384,199.31807153161958,89.38711618814573,3.340061540602022,1.2766098516809965,13.178459525617376,12.959825955968189,11.901849673936379,11.195747048025705,9.838397985015353,,low,7
BA007250F304,3,8,non_ELL,Seeking multiple opinions,683,727,main,384,83.9237656278207,65.82416945060085,1.527187314769165,1.1828543748966833,9.339695907323378,8.7656205332415,8.156841532426695,7.929108110811189,7.812508592554213,,mid,7
C035045D2327,4,10,non_ELL,Facial action coding system,605,715,main,384,119.68202575151591,89.87308591037412,2.5958518256067693,1.456842209493213,8.899247462880494,8.665136015027063,7.442405253387281,7.116331008579346,6.3033956372737245,,mid,7
0E24F08F16D5,4,8,non_ELL,Seeking multiple opinions,642,725,main,384,139.91609347776648,88.50797831848416,1.75478469380056,0.8228293881194757,8.290235378674602,8.134136618634042,7.467405990555126,6.881302941181267,6.535450684874042,,mid,7
3BA15254E27F,3,8,non_ELL,Mandatory extracurricular activities,631,695,main,384,163.0860997294274,55.00608368008122,4.104784941085557,1.5326890700000728,13.983725852732153,12.917789317813202,12.45103678273208,10.555071264123214,9.878940911646596,,mid,7
58ED581D8B93,4,10,non_ELL,Facial action coding system,621,744,main,384,108.50595935216421,52.22796786554236,2.782792221221376,1.4860025902720864,15.11120986855069,13.935805517387218,13.625207278278603,13.544064600852007,12.328417647329314,,mid,7
3426E5BCA485,6,8,non_ELL,Cell phones at school,605,742,main,384,99.17348134743557,60.247472011260186,1.1042264251545735,0.6861017390677144,6.855852767291097,6.467229395234742,6.1697510282233825,5.918649669998922,5.7516263421365235,,high,7
