pair_type,child_id,log_slope_local_resid_diff,auc_log_k_resid_diff,auc_linear_k_resid_diff,early_ratio_resid_diff,mean_gain_128_resid_diff
within,1041,0.0004869501018847644,0.35581494626032706,10.327081655977793,0.03161255059813939,0.13096185927769066
within,1041,0.0069908507722244995,0.0209324030137803,0.9138085179459949,0.06001448138369103,0.08804034825012219
within,1041,0.006503900670339735,0.33488254324654676,9.413273138031798,0.028401930785551643,0.04292151102756847
within,1042,0.009423811858704001,0.0512976399720122,2.7261409188628534,0.006772972860884963,0.0019544311183783414
within,1042,0.056732412418518674,0.29004502672587673,0.33090291567128816,0.010434301099391585,0.026507393910304655
within,1042,0.06615622427722267,0.23874738675386453,2.395238003191565,0.017207273960276548,0.024552962791926314
within,1044,0.055344991346123695,0.26546175637657043,1.042058041583914,0.1459380151088725,0.11576888674339125
within,1044,0.009330128685592465,0.4945428280176296,15.983762396746329,0.04754594867048467,0.14120487509836277
within,1044,0.06467512003171616,0.22908107164105918,17.025820438330243,0.09839206643838783,0.256973761841754
within,1045,0.04371200412510773,0.1779248381102958,11.97355427812954,0.08514890978539913,0.1927263715585099
within,1045,0.028465640261638947,0.004954037050797666,3.8178717185002427,0.02474983980939882,0.01729787478380862
within,1045,0.07217764438674668,0.18287887516109347,15.791425996629783,0.06039906997600031,0.21002424634231853
within,1047,0.011626456808461971,0.04087384846220132,3.097541135763265,0.036606131970920774,0.08895090366316594
within,1047,0.044264698794835966,0.21388436465505656,0.19678645585187837,0.02685485257124698,0.022927391468632985
within,1047,0.05589115560329794,0.17301051619285523,2.900754679911387,0.009751279399673796,0.06602351219453295
within,1048,0.09661418302714503,0.06797754471612727,16.868622602998897,0.13789898688065227,0.26466607038325685
within,1048,0.11365426930580441,0.3883618074292219,28.921938748394666,0.1402317413906402,0.3552227597732285
within,1048,0.017040086278659383,0.3203842627130946,12.053316145395769,0.002332754509987933,0.09055668938997163
within,1053,0.06643432286000212,0.47713666823424106,24.581663763076875,0.15684532642099547,0.3062521231555111
within,1053,0.021363951381659696,0.25913432093741884,4.367991753202119,0.11603903576953223,0.058721458586991515
within,1053,0.04507037147834242,0.7362709891716599,28.949655516278995,0.04080629065146324,0.24753066456851958
within,1054,0.04878531806603886,0.32768006932170834,1.7872434849669503,0.047431003652258275,0.01751127007177944
within,1054,0.09425812934759326,0.68161572832582,34.85097458185527,0.015863841769896858,0.303683018745996
within,1054,0.04547281128155439,1.0092957976475283,36.63821806682222,0.06329484542215513,0.32119428881777545
within,1055,0.09653299716733776,0.9502317210221163,42.12962881069376,0.03460410629205124,0.45002797278806916
within,1055,0.007522667748781742,0.3439950707356738,8.27009371335265,0.044067887845530174,0.00687918022272993
within,1055,0.1040556649161195,0.6062366502864425,33.85953509734111,0.07867199413758141,0.44314879256533923
within,1056,0.046859273877013885,1.2217886428187708,43.48321223728783,0.1325586644678987,0.2826757543118754
within,1056,0.08108854837228374,0.28276258256120457,20.795856253479542,0.136711237086164,0.28966808516737186
within,1056,0.12794782224929763,1.5045512253799753,64.27906849076737,0.004152572618265293,0.5723438394792473
within,1057,0.0013085118740371882,0.08151748463271513,2.7689370394557784,0.054785308044797865,0.034330251585800164
within,1057,0.019652909612119462,0.06517910957809292,4.978923399232627,0.015322905132466147,0.01998506389866117
within,1057,0.018344397738082274,0.016338375054622212,2.209986359776849,0.03946240291233172,0.054315315484461335
within,1058,0.008139419582395446,0.45979665238679157,14.553310794893804,0.01060651296808135,0.09909079207902938
within,1058,0.0056973646650219645,0.31888973230769047,8.289919224158297,0.04628346215959711,0.06379250700678507
within,1058,0.01383678424741741,0.1409069200791011,6.263391570735507,0.03567694919151576,0.035298285072244306
within,1059,0.04033253615835025,0.05671511143137753,7.611440721353574,0.03587093435875144,0.06351245059486299
within,1059,0.005628293394198736,0.7685530059891486,21.540762300919766,0.061883267370703376,0.18495769290792374
within,1059,0.034055723715813724,0.8390510813813421,20.066116748444983,0.0032804531719359264,0.1933728433793298
within,1059,0.034704242764151516,0.8252681174205261,29.15220302227334,0.09775420172945481,0.24847014350278673
within,1059,0.006276812442536528,0.8957661928127196,27.677557469798558,0.039151387530687365,0.2568852939741928
within,1059,0.028427430321614988,0.07049807539219355,1.474645552474783,0.05860281419876745,0.008415150471406063
within,1060,0.06767517047407745,0.7509074079252178,31.442861397382217,0.05932335059732763,0.21294738140688185
within,1060,0.005516712607086138,0.0851378787385988,2.3791429456167066,0.08465648264894687,0.08571080136318199
within,1060,0.06215845786699131,0.665769529186619,29.06371845176551,0.025333132051619245,0.29865818277006384
within,1061,0.0028362323766033537,0.5816001900087135,15.098392865182518,0.15249329552607122,0.12469869786659449
within,1061,0.11043252702974798,0.612020122556153,0.6668214922595155,0.3145081213487652,0.14450669176258124
within,1061,0.11326875940635134,0.030419932547439466,15.765214357442034,0.162014825822694,0.26920538962917573
within,1064,0.04591511170195639,0.4467936909838097,20.046941183744764,0.030612744002778025,0.2519083203666319
within,1064,0.05288106324289782,0.6537745490679261,27.871444460772636,0.04461867187212998,0.21517161526651418
within,1064,0.0069659515409414285,0.20698085808411637,7.824503277027873,0.014005927869351953,0.03673670510011773
within,1065,0.015473939697554895,0.26065772487216154,4.520865930643595,0.003812974005676928,0.05649749808176385
within,1065,0.058172510018654144,0.2775250200424795,0.27737928748769036,0.04554574384503607,0.05137945147008249
within,1065,0.07364644971620904,0.538182744914641,4.798245218131285,0.04173276983935914,0.0051180466116813594
within,1067,0.044038089496037824,0.46377865797159323,6.727931435588204,0.11634996745361081,0.011321385808752193
within,1067,0.015156104917931068,0.33456186773675967,11.507467198619565,0.06277192050348512,0.08231462979825266
within,1067,0.05919419441396889,0.12921679023483357,4.779535763031362,0.05357804695012569,0.07099324398950047
within,1068,0.1472010076622109,1.071446029199456,54.1289637712826,0.10790353404499686,0.539752730816141
within,1068,0.0681881039414064,0.6412457097605944,29.473086998378022,0.031571540575760615,0.24997624606927538
within,1068,0.0790129037208045,0.4302003194388617,24.655876772904577,0.07633199346923625,0.28977648474686557
within,1072,0.09731098890212464,0.3492362010679759,25.08685434184747,0.11292127255148487,0.3606138248523938
within,1072,0.012293064996018732,0.08678137266576069,0.004409364584859077,0.04767991058555132,0.004078957928493887
within,1072,0.10960405389814337,0.26245482840221523,25.08244497726261,0.1606011831370362,0.3646927827808877
within,1073,0.0012079678914750924,0.7788213712855785,23.352324645361648,0.13159606635921628,0.07654875732653377
within,1073,0.051203083366576585,0.11948340983336436,4.939101024643634,0.09586018197712187,0.12738509008529553
within,1073,0.05241105125805168,0.6593379614522141,28.29142567000528,0.03573588438209441,0.2039338474118293
within,1075,0.03485523237427307,0.413940178492322,17.330447919657303,0.04796785542227011,0.20813132566950543
within,1075,0.05319767982085144,0.2536264854555039,15.699491683579112,0.02129965492611896,0.14077406574175022
within,1075,0.01834244744657837,0.16031369303681808,1.630956236078191,0.02666820049615115,0.06735725992775521
