pair_type,child_id,log_slope_local_diff,auc_log_k_diff,auc_linear_k_diff,early_ratio_diff,mean_gain_128_diff
within,1039,0.015250311309800757,0.26925364166803245,5.10255495350691,0.05712807475447468,6.940028359814221e-05
within,1039,0.010626745053584297,0.17514980884325837,6.563678887174007,0.01984888139780583,0.023226027334890098
within,1040,0.022032812254147327,0.05643154420828189,0.8899595341374891,0.11644768115006532,0.19197421698800965
within,1040,0.022483076610576247,0.4022410225144126,7.703070561059064,0.1347601881422834,0.11610256500782468
within,1040,0.044515888864723574,0.4586725667226945,6.813111026921575,0.01831250699221809,0.07587165198018497
within,1041,0.00810172033229084,0.44193004409696135,13.979940154860088,0.030007344892466037,0.16377561976832755
within,1041,0.06824922724691895,0.48015253772014566,23.49386653707873,0.07262183386472987,0.31106845871094757
within,1041,0.06014750691462811,0.038222493623184306,9.513926382218642,0.04261448897226383,0.14729283894262002
within,1042,0.006006714855305739,0.12914720981461159,2.9384769540641287,0.04190240062530204,0.027240026381708304
within,1042,0.05106518023616213,0.3052445512314188,1.6121111110333004,0.0022688008623305,0.004254958514244844
within,1042,0.05707189509146787,0.4343917610460304,4.550588065097429,0.04417120148763254,0.02298506786746346
within,1044,0.035252588868555756,0.436410569930179,6.941904833972956,0.13939963732521043,0.03168273255709675
within,1044,0.024742646350488062,1.0082853743871425,33.20429473256152,0.12024710869813404,0.22296844595862986
within,1044,0.05999523521904382,0.5718748044569635,26.262389898588566,0.019152528627076393,0.2546511785157266
within,1045,0.02782071570547001,0.2649500720545408,11.98866282403469,0.049362376917293393,0.17093756049871445
within,1045,0.010045725400485317,0.3013294953212684,7.755165931582525,0.005151437541123349,0.0706939265131954
within,1045,0.03786644110595533,0.036379423266727606,4.233496892452166,0.05451381445841674,0.10024363398551905
within,1047,0.030453086815197372,0.40728694352547823,16.324747005333364,0.05656713416168058,0.0565816863890618
within,1047,0.057050912003601295,0.14999111731496306,12.383625294063819,0.07153069423183533,0.04189903716887233
within,1047,0.026597825188403923,0.25729582621051517,3.9411217112695454,0.014963560070154758,0.01468264922018947
within,1048,0.14723681345378692,0.3441147198272825,32.64376017576265,0.17203346002607478,0.43480634929672357
within,1048,0.13630752501686022,0.391089329989148,32.54108542761497,0.17205001075606086,0.40673963812089786
within,1048,0.010929288436926698,0.04697461016186555,0.10267474814767752,1.6550729986075652e-05,0.02806671117582571
within,1053,0.07290000842320343,0.5497184591709496,27.514823717527804,0.15111954114867543,0.33437921351963507
within,1053,0.029144227778707288,0.1681731816196277,0.5482926760229532,0.11382950445056395,0.09238037279536648
within,1053,0.043755780644496145,0.7178916407905773,28.063116393550757,0.037290036698111484,0.24199884072426858
within,1054,0.10683520402894459,0.1663268610275681,21.34319313452133,0.04710809366523461,0.19484366918763762
within,1054,0.08303544585880673,0.5634425147444606,29.724438708299544,0.015172045290639091,0.2557098393719037
within,1054,0.023799758170137852,0.3971156537168925,8.381245573778216,0.0622801389558737,0.0608661701842661
within,1055,0.05866590612116024,0.5226942234404586,23.985093380943397,0.04245258233435367,0.28688118919249517
within,1055,0.02760059896885031,0.07721433785065024,2.5292141543280877,0.03223098507554545,0.08140325700083073
within,1055,0.08626650509001055,0.44547988558980833,26.514307535271485,0.07468356740989912,0.3682844461933259
within,1056,0.017255962983141804,1.1174734198057985,36.0580768135286,0.1704411527802125,0.16533261825961443
within,1056,0.15093991990065403,0.7757510869653332,45.61346521117997,0.15990706647669656,0.5426536938836501
within,1056,0.16819588288379583,1.8932245067711317,81.67154202470857,0.010534086303515933,0.7079863121432646
within,1057,0.002343511928992903,0.124285022115048,3.345089563823535,0.0773715955595311,0.04206829167181425
within,1057,0.06745111697923456,0.39681733975584077,21.826421954362644,0.004595172257566227,0.18610331089265908
within,1057,0.06979462890822746,0.2725323176407928,18.48133239053911,0.07277642330196488,0.22817160256447333
within,1058,0.03178692630133467,0.2793095729628563,3.317674816700219,0.03768359851376135,0.026368654543353465
within,1058,0.03766527308045592,0.3525444635212196,4.573004965436098,0.11520138929623047,0.056433149691550666
within,1058,0.005878346779121246,0.0732348905583633,1.2553301487358794,0.07751779078246912,0.0300644951481972
within,1059,0.03378124805173888,0.09427754394461552,7.769394333612553,0.07456048611897559,0.011071011904747463
within,1059,0.016193239474160848,0.7139210817576576,18.36108175794925,0.053375943009305815,0.17147135330784713
within,1059,0.07633075739468514,0.42160637338674345,1.5512632973732536,0.012716418823931708,0.04305405443714516
within,1059,0.01758800857757803,0.8081986257022731,26.130476091561803,0.1279364291282814,0.1825423652125946
within,1059,0.04254950934294627,0.515883917331359,9.320657630985806,0.06184406729504388,0.054125066341892625
within,1059,0.0601375179205243,0.2923147083709141,16.809818460575997,0.06609236183323752,0.12841729887070197
