age_bin,story_id,n,half_life_mean,half_life_ci_low,half_life_ci_high,half_life_n,total_benefit_mean,total_benefit_ci_low,total_benefit_ci_high,total_benefit_n,ppl_at_min_ctx_mean,ppl_at_min_ctx_ci_low,ppl_at_min_ctx_ci_high,ppl_at_min_ctx_n,ppl_at_max_ctx_mean,ppl_at_max_ctx_ci_low,ppl_at_max_ctx_ci_high,ppl_at_max_ctx_n
5-6yr,B2,46,12.257364360956247,8.436305216360843,16.46084589352453,46,11150.95865029874,9705.063637454094,12423.844682931383,46,11168.090012177177,9609.345322507363,12408.170076121454,46,17.131361878436543,14.744848969449167,20.000439401035724,46
5-6yr,B3,46,9.19169099835714,6.956038377328712,11.794385063334955,46,11698.334088885265,10556.189140022585,12821.77358010515,46,11708.295235343601,10572.556388523268,12831.813995029615,46,9.961146458335545,9.274810077573942,10.712462057497191,46
6-7yr,A1,49,8.217585723383102,6.905533019263689,9.913144326408887,49,13047.871223060452,11431.641871880027,15393.765439401353,49,13074.639485884685,11319.196158233954,15416.809170158542,49,26.768262824233698,23.01938681359194,31.361695424391296,49
6-7yr,A2,49,9.571199256418357,7.230757740286922,12.429587248978157,49,24265.492647998188,11507.753306905348,48986.89674599925,49,24280.996796588508,11522.797842220385,49001.60514987245,49,15.504148590321444,13.28445059936874,18.156408695298797,49
6-7yr,A3,49,8.561500488754737,6.919948320103648,10.835218130186222,49,12960.116429465157,11258.65279796756,15315.123967474818,49,12969.690760086994,11269.221435235471,15329.829091784417,49,9.574330621836136,8.68555433725824,10.61545034038777,49
6-7yr,B1,49,9.139104536089794,7.48990231031897,11.053561626904733,48,12931.6893440485,11191.058156847457,15328.496897302568,48,12960.711338043213,11218.85044256846,15361.27512296041,48,29.02199399471283,23.47121322999398,36.230543433626494,48
6-7yr,B2,49,10.68272218013085,8.023398939676287,13.771252310578987,49,11769.374677677544,10705.150023192533,12830.345994635749,49,11786.472014213095,10723.085647193753,12848.691568024304,49,17.09733653555111,14.41749546041294,20.658764996090714,49
6-7yr,B3,49,13.258812854551266,8.476171022277951,20.114065841556936,49,11670.486786891002,9708.08018874806,14015.198574131848,49,11680.472658429828,9707.735700463276,14253.135048846809,49,9.985871538823964,9.211940625249124,10.778937083604385,49
7-8yr,A1,50,8.251992570921013,6.728363501539004,10.572717076362345,50,12570.685767555236,11786.764534516573,13093.953103438616,50,12594.461110229493,11814.58734588623,13114.376953125,50,23.77534267425537,19.58634208726883,28.933586774349212,50
7-8yr,A2,50,9.757620196608945,7.647828510871295,12.295138752089908,50,13213.525785713196,11541.774366510868,15518.457177584172,50,13226.815884094238,11554.629424438477,15271.399196166993,50,13.29009838104248,11.70118697690964,15.028464860916138,50
7-8yr,A3,50,8.2568633889809,6.77133610768157,10.188839487251974,50,12998.480198612213,11329.620071194648,15300.700051354408,50,13006.361790161132,11337.441207084656,15274.748813171387,50,7.881591548919678,7.420226611375809,8.395326334238051,50
