doc_id,age_months,age_group,n_chars,n_words,n_tokens_model,word_count,n_tokens,ppl_min_ctx,ppl_32,ppl_max_fixed,total_benefit_fixed,benefit_ok_fixed,half_life_fixed,early_drop_pct_fixed,early_slope,burst_valid_256,burst_valid_512,burst_n_targets_256,burst_n_targets_512,burst_baseline_512,burst_I_L_max_512,burst_I_L_std_512,burst_spike_mass_c_512,burst_spike_count_c_512,burst_cv_c_512,burst_kurtosis_c_512,burst_spike_mass_512,burst_cv_512,burst_baseline_256,burst_I_L_max_256,burst_I_L_std_256,burst_spike_mass_c_256,burst_spike_count_c_256,burst_cv_c_256,burst_kurtosis_c_256,burst_spike_mass_256,burst_cv_256,model,model_tag
ECSC_1017_1_64F_1017_YR1,64,4-6yr,1329,342,359,342,359,37.27978739080219,14.310849026406391,9.599849991117754,27.679937399684437,True,13.051879774167585,82.98045632378364,-0.805832990715698,True,False,20,0,,,,,,,,,,7.820346984367255,31.218063076467338,8.232212667315892,0.6097769753494584,1.0,1.3292521752745645,1.2960656966871182,0.34144832937211195,1.0526659090411141,Qwen2.5-7B-Instruct,qwen7b
ECSC_1017_3_64F_1017_YR3,64,4-6yr,1495,364,376,364,376,19.68476202305114,10.02498861642827,7.53714307324388,12.14761894980726,True,19.266725676024286,79.51989148273485,-0.3629225100825569,True,False,20,0,,,,,,,,,,9.399350024156782,18.65275355548599,4.95106324196485,0.408635309995087,1.0,1.1121761064191629,-1.162464333476358,0.19676827201291047,0.5267452780501183,Qwen2.5-7B-Instruct,qwen7b
ECSC_4050_1_64F_4050_YR1,64,4-6yr,1211,304,317,304,317,32.64452269097913,22.007467683871276,13.48303585154326,19.16148683943587,True,26.18604151931705,55.512680702918864,-0.4540712408161067,True,False,20,0,,,,,,,,,,3.3139203823316548,6.138893993283846,1.4199554309002669,0.42343659129705963,1.0,1.217614773891182,-0.3675233683488268,0.1745042630295755,0.4284820596387396,Qwen2.5-7B-Instruct,qwen7b
ECSC_1032_3_64M_1032_YR3,64,4-6yr,1762,406,441,406,441,34.39085540102633,19.886956097587426,8.687079839564714,25.703775561461615,True,18.017868986633836,56.42711619838838,-0.5295066852765019,True,False,20,0,,,,,,,,,,17.403044716450026,45.335237152952324,8.907415665547834,0.6730846156696169,1.0,1.3759520694318796,2.5774239302091164,0.22518804171561135,0.5118308784857746,Qwen2.5-7B-Instruct,qwen7b
ECSC_1055_1_64M_1055_YR1,64,4-6yr,1151,289,290,289,290,21.424237604520982,9.483104283686863,5.088791205023872,16.33544639949711,True,14.194851674024497,73.0995225279043,-0.48413346828069903,False,False,0,0,,,,,,,,,,,,,,,,,,,Qwen2.5-7B-Instruct,qwen7b
ECSC_1055_2_64M_1055_YR2,64,4-6yr,884,211,229,211,229,103.85992899569202,67.66470718808611,18.954801782883983,84.90512721280803,True,36.322292008232814,42.630195602776055,-0.9461751717512622,False,False,0,0,,,,,,,,,,,,,,,,,,,Qwen2.5-7B-Instruct,qwen7b
ECSC_1055_3_64M_1055_YR3,64,4-6yr,1252,312,330,312,330,174.08272889613707,48.61472125891539,24.407372880910323,149.67535601522675,True,7.247944301855789,83.82676412305149,-3.1844354907089976,True,False,20,0,,,,,,,,,,22.3209912217968,42.133105665713835,9.14987462713092,0.5424545360258153,1.0,1.2727487919212603,-0.087799294708379,0.18735591612975971,0.4099224150133585,Qwen2.5-7B-Instruct,qwen7b
ECSC_4002_1_64M_4002_YR1,64,4-6yr,1196,285,306,285,306,27.901035228509567,13.429731796654455,10.431298406269581,17.469736822239987,True,12.36013923806165,82.83641350241925,-0.5061929555794109,True,False,20,0,,,,,,,,,,7.059612753313533,10.911131786685083,2.267078954652085,0.3690532647157693,0.0,1.0861596195337473,-1.3386076342035582,0.1545570864572392,0.3211336136798719,Qwen2.5-7B-Instruct,qwen7b
ECSC_4012_1_65F_4012_YR1,65,4-6yr,1117,283,309,283,309,74.3984876408222,45.01720364024174,20.96316191054559,53.4353257302766,True,21.754693092716188,54.98475699182075,-0.989151109278513,True,False,20,0,,,,,,,,,,9.561996407242214,21.256461827469845,4.099567345552238,0.82434420919394,1.0,1.5159669526891104,2.730729718907626,0.2165677223643496,0.4287355036493471,Qwen2.5-7B-Instruct,qwen7b
ECSC_1020_1_65M_1020_YR1,65,4-6yr,880,210,215,210,215,50.23926413207366,32.459088103108165,22.660095470183283,27.579168661890375,True,27.158546581717033,64.46958661786861,-0.6529458897970271,False,False,0,0,,,,,,,,,,,,,,,,,,,Qwen2.5-7B-Instruct,qwen7b
