doc_id,age_months,age_group,n_tokens,t_star,t_star_frac,I_512_star,baseline_512,top_share_512,n_eff_512,gini_512,n_positive_512,n_windows_512,ppl_full_512,top_share_256,n_eff_256,n_windows_256,model,model_tag
ECSC_1009_1_94F_1009_YR1,94,6-8yr,654,588,0.8990825688073395,11.808039758046299,7.157243835965227,0.4151051805417699,8.161799371810682,0.7843240013414993,18,31,11.351952527511465,0.3711276949432308,6.074056607032584,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1009_2_94F_1009_YR2,94,6-8yr,1405,1264,0.899644128113879,8.847458883868832,20.012121358718062,0.2928519938296222,14.254900953124027,0.6234556603369367,25,31,8.446256558072104,0.43211936487072444,6.022800074255598,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1009_3_94F_1009_YR3,94,6-8yr,684,577,0.8435672514619883,43.9423384043104,28.15357112530354,0.2444797192173732,14.4898037764902,0.6298399485771834,29,31,21.835425064087254,0.3344723805977712,9.643598254804852,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1021_1_94F_1021_YR1,94,6-8yr,913,821,0.8992332968236583,10.083237105634964,14.531797968304229,0.2907285634491618,9.74837405441167,0.7458724811687696,20,31,11.712856672072931,0.3606982360981167,5.418693275342964,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1021_2_94F_1021_YR2,94,6-8yr,1328,799,0.6016566265060241,45.503028007204065,26.533487316884873,0.3311361792828147,12.387336502046956,0.6704782003200045,26,31,17.596073512080572,0.3143957446190087,6.741160091529603,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1021_3_94F_1021_YR3,94,6-8yr,899,809,0.899888765294772,23.063571652257224,29.299645267720855,0.34768376896902264,6.406917724472606,0.8371812319286693,16,31,22.197617781073077,0.31504067114526524,6.049747743976464,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1015_1_102F_1015_YR1,102,8-10yr,1006,905,0.8996023856858847,15.648298259596402,23.88484703717773,0.27404857113167835,10.38774346910046,0.7386019305662006,24,31,7.9446380785695405,0.31560189826974083,7.592332886136919,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1015_2_102F_1015_YR2,102,8-10yr,1049,762,0.7264061010486177,22.79481789298791,31.38248361191798,0.19163293551989782,18.39885574870445,0.5307620052102753,26,31,9.669960152301183,0.23967804688282432,8.52543724316974,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1015_3_102F_1015_YR3,102,8-10yr,731,657,0.8987688098495212,5.886127631678448,11.796936880104202,0.1387857860197661,12.425611650039226,0.6869952164315651,17,31,16.96456365644856,0.5016740870504225,3.8283017097103658,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1059_1_104F_1059_YR1,104,8-10yr,653,587,0.8989280245022971,16.3495456501499,5.8182929300057635,0.40253975107322637,10.52229139764152,0.6977641372329596,24,31,9.820380049708666,0.39373752056794986,6.957532896367491,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_4015_1_104F_4015_YR1,104,8-10yr,741,601,0.8110661268556005,25.381634861102118,18.57193123372022,0.36777593454749535,13.486501551350283,0.5991638072353382,29,31,13.602257235976314,0.48786333783763386,5.585941493552797,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1022_1_106M_1022_YR1,106,8-10yr,586,512,0.8737201365187713,8.232967742835342,9.923865150601017,0.290035527307214,13.378087935665217,0.638457458851682,27,31,16.385437429879754,0.25312190590516126,7.764556304328413,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_4062_1_96F_4062_YR1,96,8-10yr,605,528,0.8727272727272727,10.375792425883072,9.876210541014675,0.37453364573889086,10.078436401586552,0.7309520531103094,23,31,15.983540838800307,0.2988853267308064,9.056480156332702,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1006_2_97F_1006_YR2,97,8-10yr,598,538,0.8996655518394648,5.4859561655682505,5.255701003149248,0.2059541866972652,13.822415900176123,0.6568342803139252,22,31,10.22842155577831,0.22475472415573516,7.408078182973006,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1099_1_97F_1099_YR1,97,8-10yr,761,638,0.8383705650459922,18.070109073234885,33.79508069140412,0.2598220665197081,11.312265532433477,0.7185803680085292,20,31,21.810288563124754,0.1898556096516386,10.17444723945548,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1099_2_97F_1099_YR2,97,8-10yr,829,746,0.8998793727382388,13.571944689427044,18.908188155427442,0.2549330443509724,13.246053233302176,0.6543337627816876,21,31,14.61500154343121,0.3055704497656399,7.454592376793396,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1099_3_97F_1099_YR3,97,8-10yr,755,679,0.8993377483443709,7.405342206532154,22.810167916553727,0.41598928420432685,6.150103616955509,0.8484447022626044,13,31,19.489030382997097,0.339401102778907,8.30745566678301,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1056_1_97M_1056_YR1,97,8-10yr,682,575,0.843108504398827,15.554668318880681,11.488619594497385,0.46932563787672843,6.387594504013989,0.8342475962332033,15,31,8.162303573311961,0.4440915722447958,5.751450907535391,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_4042_1_98F_4042_YR1,98,8-10yr,699,530,0.7582260371959942,6.983341003228272,21.148837746744043,0.2720316305897407,9.330667556186993,0.7735324498700943,19,31,6.382007863010575,0.3194720488288066,6.8771175929486805,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1091_1_98M_1091_YR1,98,8-10yr,1093,983,0.8993595608417201,14.289367865781852,40.749911786488596,0.34338627745994565,8.717671546563063,0.7827558186535024,17,31,30.802138969053463,0.4607217842404065,4.211621679214288,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_1010_1_99M_1010_YR1,99,8-10yr,759,638,0.8405797101449275,110.2455083547896,33.42151419073139,0.1821014227472026,12.83859671932596,0.6881495794499183,21,31,23.935366473260974,0.2747943273186822,7.475436684351608,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_3003_1_108F_3003_YR1,108,8-10yr,715,622,0.8699300699300699,9.878912675480471,20.342658724439342,0.33773587990402115,11.557830032184592,0.6825012058513222,29,31,9.03322055385873,0.5312752399282277,4.342508376866534,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_4044_1_113M_4044_YR1,113,8-10yr,665,598,0.8992481203007519,10.739923756015628,22.713146646987664,0.21605479020544177,13.911993260484012,0.6540663709324335,24,31,13.207095284478552,0.19441668127311798,10.482820104860599,15,Qwen2.5-7B-Instruct,qwen7b
ECSC_4060_1_115F_4060_YR1,115,8-10yr,570,513,0.9,14.798275371679845,15.626510962260685,0.19913488091626053,16.686121948602114,0.5777415350824425,28,31,7.240425591170302,0.3528174005503782,7.814195119128151,15,Qwen2.5-7B-Instruct,qwen7b
