doc_id,age_months,age_bin,word_count,contrast_W4,contrast_W8,contrast_W16,contrast_W32,contrast_W64
PetMcc_14_N3,48,4-5y,54,1.0857765403836683,1.858841537161288,1.5950491612860915,1.1951116470440732,
PetMcc_14_N4,48,4-5y,51,1.4005915926591352,1.134639623424716,1.6285079219947585,1.5595032982187522,
PetMcc_15_N2,48,4-5y,62,2.0021511831777494,0.24226629958611742,1.497294097334777,1.695504343058498,1.0278966963670146
PetMcc_15_N4,48,4-5y,60,0.34271161131982053,1.0686864377143424,1.496790253130121,0.749766261441228,
PetMcc_15_N6,48,4-5y,69,0.21611332472881042,0.5812035581322498,0.2203658275197317,2.5341909687733546,1.819896330219092
PetMcc_15_N8,48,4-5y,54,1.2510165470559975,2.5806622250838513,0.7724446686724243,2.0237716731349744,
PetMcc_16_N1,48,4-5y,64,2.2904115407182264,1.0725057756807266,2.1734947936198807,1.0848353790072132,
PetMcc_16_N4,48,4-5y,63,-1.0708705745886367,0.5327167595923542,-0.01352708099044945,0.42562905233277376,2.579239413156364
PetMcc_16_N5,48,4-5y,51,0.7606628629840054,0.8773884707673377,1.0651490246694189,2.456204000288904,
PetMcc_16_N6,48,4-5y,87,1.938055187867738,1.5559143188789566,2.3517108002429725,2.3608575521941275,2.398705359478379
PetMcc_16_N8,48,4-5y,87,0.2602293118840168,1.680186081645635,2.4548700946062807,0.6428454674778415,1.7323334612999801
PetMcc_16_N12,48,4-5y,56,0.2849113903356854,1.4779317485117083,1.979361497682661,0.7577922113084238,
PetMcc_17_N2,60,4-5y,66,-0.06582153762545191,0.8149918268958221,-0.30550090030959204,-0.14482227240156662,-0.2811951300838466
PetMcc_17_N3,60,4-5y,67,1.0760876186756096,0.6450899093252144,1.3982708849476568,1.203243890336674,1.4414072580050072
PetMcc_17_N4,60,4-5y,77,0.14961314246831056,0.9572242383904287,0.35164857765002916,1.7440878863100684,1.3901113986953813
PetMcc_17_N5,60,4-5y,98,0.11547072186080028,0.7357798011691224,0.9795434859453439,1.194766241592418,1.739007680624819
PetMcc_17_N6,60,4-5y,113,0.8193863564597601,0.17652796985144226,-1.2460077254815591,-1.2471918800924764,-0.13204095622151046
PetMcc_17_N8,60,4-5y,78,1.8784455464719423,1.6146038761744306,2.095602407880914,2.728838458617186,3.065612176250871
PetMcc_17_N9,60,4-5y,60,-0.20621088150192138,0.49862967809052505,1.0432481382430832,0.16512371952888338,
PetMcc_17_N10,60,4-5y,63,0.606005268308237,1.4234496478615144,1.15330467801459,0.14296594629023898,
PetMcc_17_N11,60,4-5y,66,-0.2442111207913816,1.2728591402707685,0.19531843441243155,2.0907018508860147,2.6358858071079454
PetMcc_17_N12,60,4-5y,145,1.0037591940147619,1.2373629076046926,1.126129739921064,1.5954544893210614,1.3983747476735526
PetMcc_18_N1,60,4-5y,72,0.7826278740936575,0.6519795200845097,0.9989927235897168,0.25216042584408,4.197704666925447
PetMcc_18_N2,60,4-5y,61,2.643888307525856,2.6691468904142934,2.7047570494811684,3.316147040897924,
PetMcc_18_N3,60,4-5y,62,0.9036643196428876,1.4158687995591397,1.4630976035352388,1.0484078683529137,
PetMcc_18_N7,60,4-5y,129,0.6236721641434456,0.6003012149689864,0.6301010868382423,0.2564812415632523,-0.0059245437614784775
PetMcc_18_N8,60,4-5y,75,1.6028710841767448,1.4101732250310972,2.141036454354175,1.603847512787171,1.8905513776688243
PetMcc_18_N9,60,4-5y,55,-0.09627572526386723,0.3024431795191768,1.0284818370275453,-0.009449284204199715,
PetMcc_18_N10,60,4-5y,105,0.3777638436487414,1.2326878654635047,0.26961585723715653,1.4441287927631012,0.27989059522387
PetMcc_18_N12,60,4-5y,58,1.2754047704885159,1.6451957310115999,0.8236433877254447,0.2934002524619184,
PetMcc_19_N1,60,4-5y,59,-0.2805751002921057,-0.41989523754329006,0.7622313810022369,1.2640464139806988,0.16028627144020482
PetMcc_19_N2,60,4-5y,135,0.45246302981009023,0.8269140982241252,1.580423809264954,2.5855681650564186,2.5757069076091224
PetMcc_19_N6,60,4-5y,109,0.8803129079704392,2.2104975011968016,1.3972106627466605,1.0707198786890146,2.209281036224118
PetMcc_20_N2,60,4-5y,60,1.3886049355834198,1.4720150461701298,0.8738632271117849,0.2668246758927915,
PetMcc_20_N4,60,4-5y,57,1.0579337194586573,0.20654396059789829,1.7711030760432076,0.7233984787644353,
PetMcc_20_N6,60,4-5y,60,2.129543849312746,1.870057519462765,2.2361637794931553,2.5481162883557533,
PetMcc_20_N9,60,4-5y,60,-0.23497633016697939,0.6102875404829171,-0.8302613906886019,0.02553964168536736,
PetMcc_21_N2,60,4-5y,66,2.177063315204831,2.184133765455068,1.6869577094138597,2.5650949199736712,
PetMcc_21_N4,60,4-5y,51,0.2701731873802033,0.18358243987026945,0.8017745427223063,1.4065497461903314,
PetMcc_21_N9,60,4-5y,69,1.7165554619952423,2.285646759982257,1.9869613647422149,2.2570606181387043,2.8449904451069297
PetMcc_22_N2,60,4-5y,79,1.169946933151354,2.0836544790156797,2.2666758449197637,1.8228703368571708,3.5755169897107324
PetMcc_22_N3,60,4-5y,50,0.7076565594149812,0.534687351801369,0.9387217642012254,0.8293798337414406,
PetMcc_22_N5,60,4-5y,109,1.3733994111696157,1.2485584396787337,1.368297260405342,1.7493084147610565,0.799378842191229
PetMcc_22_N6,60,4-5y,64,0.08882136406973877,-0.141663361775041,-0.8299294690597963,1.3171153270402376,
PetMcc_22_N7,60,4-5y,90,0.6431177341997084,0.5738614389921909,0.8035611611320003,0.9722755792704897,1.3146038263295416
PetMcc_22_N9,60,4-5y,84,1.4113911076605394,1.3700821933665441,3.355083410076358,1.6588942631197152,1.211201967441058
PetMcc_22_N10,60,4-5y,59,0.7553860646435436,1.014087921152844,1.8909943738067254,2.1800938292569456,3.4462303694487657
PetMcc_22_N11,60,4-5y,55,2.043189493090562,1.8389599829536334,1.6250374858859515,1.9846964719046944,
PetMcc_23_N3,60,4-5y,105,1.089977171218288,1.609899668717664,2.0561541631018025,0.9484104951368516,1.6680172014091725
PetMcc_23_N4,60,4-5y,68,0.9020059405350396,1.2287686938822164,1.398669839047807,1.2836334676667869,2.22621319257192
