doc_id,dataset,group,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,n_turns_total,n_turns_child,n_turns_adult,adult_turn_frac,adult_token_frac,child_tokens,adult_tokens,canonical_sim,group_canonical_mean
32322120,miami_mono,grade2,451,58,7.775862068965517,0.401330376940133,40.20046801872075,58,58,0,0.0,0.0,540,0,0.0608849584014588,0.1020490126037401
32322126,miami_mono,grade2,274,34,8.058823529411764,0.38686131386861317,26.98014161291023,34,34,0,0.0,0.0,328,0,0.1004845281830002,0.1020490126037401
32322150,miami_mono,grade2,247,32,7.71875,0.39271255060728744,20.583333333333332,32,32,0,0.0,0.0,297,0,0.11078826368148131,0.1020490126037401
32322257,miami_mono,grade2,299,38,7.868421052631579,0.32441471571906355,18.316274773386215,38,38,0,0.0,0.0,351,0,0.09523824908093188,0.1020490126037401
32322258,miami_mono,grade2,275,31,8.870967741935484,0.3418181818181818,20.690861611265007,31,31,0,0.0,0.0,321,0,0.10938243711321727,0.1020490126037401
32322264,miami_mono,grade2,362,49,7.387755102040816,0.32044198895027626,27.846153846153847,49,49,0,0.0,0.0,425,0,0.09861705075369212,0.1020490126037401
32322282,miami_mono,grade2,244,34,7.176470588235294,0.32786885245901637,16.619276320319493,34,34,0,0.0,0.0,284,0,0.10254637721984358,0.1020490126037401
32322284,miami_mono,grade2,280,43,6.511627906976744,0.30714285714285716,20.08956342569167,43,43,0,0.0,0.0,364,0,0.0881234592321464,0.1020490126037401
41322116,miami_mono,grade2,283,33,8.575757575757576,0.4134275618374558,41.122745476075714,33,33,0,0.0,0.0,341,0,0.1038929240081134,0.1020490126037401
42321509,miami_mono,grade2,407,43,9.465116279069768,0.28992628992628994,21.049045801526717,43,43,0,0.0,0.0,479,0,0.13032042416091139,0.1020490126037401
42322076,miami_mono,grade2,238,36,6.611111111111111,0.31512605042016806,18.022105771109757,36,36,0,0.0,0.0,312,0,0.05650120001106126,0.1020490126037401
42322137,miami_mono,grade2,482,48,10.041666666666666,0.26348547717842324,24.98311696616998,48,48,0,0.0,0.0,562,0,0.06710944923956885,0.1020490126037401
31331312,miami_mono,grade5,169,16,10.5625,0.44970414201183434,26.154761904761905,16,16,0,0.0,0.0,205,0,0.08197132720310021,0.1111421120321634
31331345,miami_mono,grade5,350,37,9.45945945945946,0.3514285714285714,34.70163598754727,37,37,0,0.0,0.0,410,0,0.13310501576079045,0.1111421120321634
31331346,miami_mono,grade5,345,32,10.78125,0.32753623188405795,23.68869385647909,32,32,0,0.0,0.0,399,0,0.0872775559335321,0.1111421120321634
31331417,miami_mono,grade5,247,30,8.233333333333333,0.4048582995951417,25.791243875454402,30,30,0,0.0,0.0,288,0,0.12666565744001415,0.1111421120321634
31331418,miami_mono,grade5,135,14,9.642857142857142,0.5037037037037037,27.0,14,14,0,0.0,0.0,157,0,0.08342153313342365,0.1111421120321634
31331419,miami_mono,grade5,333,33,10.090909090909092,0.3813813813813814,30.966112716763007,33,33,0,0.0,0.0,390,0,0.05568809635399698,0.1111421120321634
31331444,miami_mono,grade5,383,35,10.942857142857143,0.30548302872062666,17.985303621093962,35,35,0,0.0,0.0,437,0,0.06078039348800592,0.1111421120321634
31331467,miami_mono,grade5,224,27,8.296296296296296,0.40625,19.586634149724336,27,27,0,0.0,0.0,268,0,0.10816554747094866,0.1111421120321634
31331470,miami_mono,grade5,299,39,7.666666666666667,0.3411371237458194,18.78168103448276,39,39,0,0.0,0.0,356,0,0.1384507995303638,0.1111421120321634
31331495,miami_mono,grade5,199,29,6.862068965517241,0.40703517587939697,27.13311260441966,29,29,0,0.0,0.0,248,0,0.12824915065875722,0.1111421120321634
31332016,miami_mono,grade5,303,40,7.575,0.37293729372937295,27.065902760192454,40,40,0,0.0,0.0,362,0,0.10801414342184895,0.1111421120321634
