doc_id,dataset,group,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,n_turns_total,adult_turn_frac,adult_token_frac,canonical_sim,group_canonical_mean
ECSC_1057_3_67F_1057_YR3,ecsc,4-6yr,377,92,4.0978260869565215,0.3209549071618037,21.022884241245137,,,,0.08843686851200527,0.07551843430128889
ECSC_2013_1_67F_2013_YR1,ecsc,4-6yr,220,57,3.8596491228070176,0.43636363636363634,33.904522949284086,,,,0.06475081744190696,0.07551843430128889
ECSC_1028_1_67M_1028_YR1,ecsc,4-6yr,320,102,3.1372549019607843,0.33125,20.224066390041493,,,,0.06439166024453438,0.07551843430128889
ECSC_1028_2_67M_1028_YR2,ecsc,4-6yr,171,56,3.0535714285714284,0.45614035087719296,23.941731770833336,,,,0.07614075125673692,0.07551843430128889
ECSC_1028_3_67M_1028_YR3,ecsc,4-6yr,195,49,3.979591836734694,0.4256410256410256,20.870098039215687,,,,0.07377224743671168,0.07551843430128889
ECSC_4034_1_67M_4034_YR1,ecsc,4-6yr,161,54,2.9814814814814814,0.453416149068323,8.612597066436583,,,,0.029794368187781764,0.07551843430128889
ECSC_2014_1_68F_2014_YR1,ecsc,4-6yr,300,72,4.166666666666667,0.31,17.488797413478757,,,,0.07649299690827609,0.07551843430128889
ECSC_2014_2_68F_2014_YR2,ecsc,4-6yr,249,49,5.081632653061225,0.40562248995983935,21.928025936599425,,,,0.09728546260986552,0.07551843430128889
ECSC_2019_1_68F_2019_YR1,ecsc,4-6yr,491,135,3.637037037037037,0.2729124236252546,20.90307971014493,,,,0.06679182828886837,0.07551843430128889
ECSC_4055_1_68F_4055_YR1,ecsc,4-6yr,257,65,3.953846153846154,0.38910505836575876,17.08739357611353,,,,0.09678533290962361,0.07551843430128889
ECSC_1061_1_68M_1061_YR1,ecsc,4-6yr,80,20,4.0,0.4625,18.484848484848484,,,,0.052132036072850045,0.07551843430128889
ECSC_1061_2_68M_1061_YR2,ecsc,4-6yr,296,55,5.381818181818182,0.2635135135135135,11.536410256410257,,,,0.09041519965961539,0.07551843430128889
ECSC_1061_3_68M_1061_YR3,ecsc,4-6yr,163,29,5.620689655172414,0.3987730061349693,22.570121448936597,,,,0.09250431990747598,0.07551843430128889
