story_id,age_bin,group,n,n_tokens_median,n_tokens_q25,n_tokens_q75,ttr_mean,ttr_ci_low,ttr_ci_high,mtld_mean,mtld_ci_low,mtld_ci_high,tokens_per_sentence_mean,tokens_per_sentence_ci_low,tokens_per_sentence_ci_high,canonical_sim_mean,canonical_sim_ci_low,canonical_sim_ci_high,adult_token_frac_mean,adult_token_frac_ci_low,adult_token_frac_ci_high
B1,6-7yr,TD,49,51.0,40.0,66.0,0.605200436008015,0.5849670010971014,0.6286874308356205,26.897346879156245,24.848513186108814,28.926579612806044,7.093017186894737,6.6831505356888,7.548710821491435,0.08560716624630843,0.08125280286312807,0.09012610787662009,0.09289485073774233,0.07064737906211331,0.11770000473851193
B1,6-7yr,LI,11,57.0,47.5,79.5,0.5746546494672972,0.49386483496552963,0.6572821315016292,24.433077961819627,20.694314509336884,28.467053681432443,6.383298898071626,5.303715564738292,7.386606404958678,0.07173443430661913,0.06110602169656185,0.08102702549561668,0.21322855818586692,0.1530541991329043,0.28652274058438876
B1,7-8yr,TD,50,61.0,43.5,75.5,0.6046799690939516,0.5747547880707121,0.6295995366981013,29.87704675902134,26.745814752281344,33.174309141197696,8.2159329004329,7.731502020202021,8.73281884920635,0.08304538364686025,0.07759778328401834,0.08837180073614623,0.09232508524034078,0.07201146779454014,0.11624482801249277
B1,7-8yr,LI,13,46.0,41.0,72.0,0.5755878304734231,0.5355246683201726,0.6078949604656243,24.969308444609204,22.100772567228947,27.81403844378036,6.544892927585236,5.830508241758242,7.148906558185404,0.07928319130056317,0.07084789502001496,0.0869692649008098,0.19524234325161471,0.15235765262336923,0.23868425085944084
B1,8-9yr,TD,45,72.0,57.0,87.0,0.5848530702004539,0.5579648826695756,0.6070845640897113,32.725321160853575,29.382111853518293,36.01664207314041,8.331164853664854,7.822851156559492,8.796939701502202,0.08528403100561469,0.08064478089834665,0.090181344621819,0.07933780553576979,0.05932118492574696,0.10254370237831309
B1,8-9yr,LI,17,50.0,44.0,64.0,0.6106443606581867,0.5523272425597985,0.6684503756691141,28.963720270360007,21.59629290157186,36.19945088089418,6.699766736531442,6.14138637098196,7.387325950193597,0.07544039647253858,0.06827321119945277,0.08299025315231605,0.13907131834279224,0.1138907676075112,0.16717629798718833
B1,9-10yr,TD,50,69.5,54.0,87.0,0.606679243032043,0.5817515266029388,0.6333377513147772,34.99522045279978,32.40568606305215,37.37304402244527,8.556921855921857,8.159582814407816,9.028201587301588,0.07974268826683292,0.07372891160895038,0.08520585122881365,0.06860071816309972,0.053993499194942056,0.08597320356742362
B1,9-10yr,LI,10,69.5,48.0,80.5,0.5966577045237618,0.5270165885645243,0.6895805058835518,31.68853159402658,22.539124613963413,46.271614512426424,7.631098484848484,6.850750000000001,8.45944696969697,0.07664854408379349,0.06417417071172174,0.08839203142796051,0.12318633433054878,0.0905213978033855,0.16281647333661972
B2,4-5yr,TD,45,70.0,57.0,93.0,0.5671897321073954,0.5419721194440289,0.5920732462262341,26.97058416741292,23.863484210701756,30.587459153925924,6.161611801415722,5.741536200092573,6.621957912956686,0.06872164725195164,0.06274326699150641,0.07451571565939079,0.12603870791321578,0.09405051371580445,0.16245981197989032
B2,4-5yr,LI,11,40.0,35.5,72.5,0.5680654190074748,0.48363497496884117,0.6476936098660697,20.662791869996827,14.851307768448333,29.32478453130827,4.367676092475557,3.612477904040404,5.152484267811808,0.04615790068006118,0.03592232983800759,0.0567150511732772,0.1527349380693974,0.07339699991962115,0.24173383784269592
B2,5-6yr,TD,46,79.0,59.75,112.75,0.5529265770995723,0.5293007365853318,0.5787964313080338,28.257569967763235,25.18076035909366,31.436783858212873,6.954221027622561,6.564864920529883,7.348451417951898,0.07270096937569587,0.06598192108545906,0.07796151915034998,0.10491502794272067,0.0819342131379373,0.1330538433736491
