doc_id,file_id,story_id,group,age_bin,age_years,word_count,n_tokens,n_sentences,tokens_per_sentence,ttr,mtld,adult_token_frac,canonical_sim
429_B1,429,B1,TD,4-5yr,4.8341666666666665,56,47,6,7.833333333333333,0.7021276595744681,35.01254889178618,0.17647058823529413,0.09472582732047045
429_B2,429,B2,TD,4-5yr,4.8341666666666665,72,54,9,6.0,0.6296296296296297,27.017966064101145,0.16279069767441862,0.06522568486484567
429_B3,429,B3,TD,4-5yr,4.8341666666666665,126,98,14,7.0,0.5102040816326531,25.13485082610246,0.11888111888111888,0.06189936334041602
441_A1,441,A1,TD,4-5yr,4.921666666666667,43,37,6,6.166666666666667,0.5405405405405406,15.645061728395062,0.25862068965517243,0.042079559797182524
441_A2,441,A2,TD,4-5yr,4.921666666666667,71,59,9,6.555555555555555,0.5084745762711864,13.794689119170986,0.16470588235294117,0.05666415966827701
441_A3,441,A3,TD,4-5yr,4.921666666666667,125,110,13,8.461538461538462,0.41818181818181815,17.023809523809522,0.11971830985915492,0.06803640264871356
441_B1,441,B1,TD,4-5yr,4.921666666666667,51,42,7,6.0,0.5714285714285714,14.736842105263158,0.25,0.0879477327564803
441_B2,441,B2,TD,4-5yr,4.921666666666667,81,70,9,7.777777777777778,0.4714285714285714,16.71028880866426,0.17346938775510204,0.058643725457939166
441_B3,441,B3,TD,4-5yr,4.921666666666667,148,127,16,7.9375,0.4251968503937008,18.418391188251,0.10303030303030303,0.08910243522753857
448_A1,448,A1,TD,4-5yr,4.585,67,51,8,6.375,0.6666666666666666,32.87020976200081,0.014705882352941176,0.08011126268798094
448_A2,448,A2,TD,4-5yr,4.585,81,62,10,6.2,0.6129032258064516,31.307299976460126,0.03571428571428571,0.08114815770955773
448_A3,448,A3,TD,4-5yr,4.585,160,120,20,6.0,0.4583333333333333,16.997159444563902,0.018404907975460124,0.08781181591451623
448_B1,448,B1,TD,4-5yr,4.585,57,43,8,5.375,0.7674418604651163,51.77200000000001,0.017241379310344827,0.06526099147801175
448_B2,448,B2,TD,4-5yr,4.585,122,95,16,5.9375,0.5263157894736842,20.30324909747292,0.024,0.08331999908325242
448_B3,448,B3,TD,4-5yr,4.585,169,131,19,6.894736842105263,0.4961832061068702,31.105923694779115,0.0058823529411764705,0.08841098868586195
452_A1,452,A1,TD,4-5yr,4.01,35,25,6,4.166666666666667,0.48,10.416666666666668,0.07894736842105263,0.0467679268036501
452_A2,452,A2,TD,4-5yr,4.01,65,47,10,4.7,0.23404255319148937,9.4,0.04411764705882353,0.03097481663061323
452_A3,452,A3,TD,4-5yr,4.01,100,74,13,5.6923076923076925,0.20270270270270271,9.25,0.02912621359223301,0.036978797805511304
452_B1,452,B1,TD,4-5yr,4.01,42,35,6,5.833333333333333,0.5714285714285714,14.799382716049383,0.3,0.07068979751250935
452_B2,452,B2,TD,4-5yr,4.01,35,24,10,2.4,0.4583333333333333,4.5,0.2857142857142857,0.031154541836834956
452_B3,452,B3,TD,4-5yr,4.01,73,54,16,3.375,0.35185185185185186,7.412001791312136,0.039473684210526314,0.032345000509852756
456_A1,456,A1,TD,4-5yr,4.101666666666667,55,43,6,7.166666666666667,0.627906976744186,22.97019867549669,0.05172413793103448,0.05800275084830923
456_A2,456,A2,TD,4-5yr,4.101666666666667,67,47,9,5.222222222222222,0.48936170212765956,15.666666666666666,0.04285714285714286,0.06681783654262279
456_A3,456,A3,TD,4-5yr,4.101666666666667,124,97,14,6.928571428571429,0.4536082474226804,19.37299797548082,0.008,0.06311838805192681
456_B1,456,B1,TD,4-5yr,4.101666666666667,42,31,6,5.166666666666667,0.7419354838709677,26.28167445482866,0.06666666666666667,0.07079545161788325
456_B2,456,B2,TD,4-5yr,4.101666666666667,68,54,8,6.75,0.6296296296296297,22.22895686870606,0.04225352112676056,0.04561240822381173
456_B3,456,B3,TD,4-5yr,4.101666666666667,115,87,14,6.214285714285714,0.4827586206896552,19.086235955056182,0.025423728813559324,0.08085949689604364
457_A1,457,A1,TD,4-5yr,4.600833333333333,58,47,7,6.714285714285714,0.5319148936170213,21.554635761589402,0.04918032786885246,0.09256540067083334
457_A2,457,A2,TD,4-5yr,4.600833333333333,85,63,11,5.7272727272727275,0.6031746031746031,23.677067665104804,0.03409090909090909,0.11346417810841736
457_A3,457,A3,TD,4-5yr,4.600833333333333,130,101,15,6.733333333333333,0.45544554455445546,18.516666666666666,0.022556390977443608,0.07026572945476948
457_B1,457,B1,TD,4-5yr,4.600833333333333,92,75,13,5.769230769230769,0.56,27.48173307455189,0.010752688172043012,0.0906619573279803
457_B2,457,B2,TD,4-5yr,4.600833333333333,87,68,11,6.181818181818182,0.5735294117647058,28.97041420118343,0.03333333333333333,0.07672102876468394
457_B3,457,B3,TD,4-5yr,4.600833333333333,189,154,21,7.333333333333333,0.4935064935064935,24.066662469754867,0.015625,0.08937832224895137
460_A1,460,A1,TD,4-5yr,4.685833333333333,50,44,7,6.285714285714286,0.5909090909090909,17.6171875,0.05660377358490566,0.04668652520800813
460_A2,460,A2,TD,4-5yr,4.685833333333333,74,62,12,5.166666666666667,0.5161290322580645,17.752136752136753,0.013333333333333334,0.07449479033499004
460_A3,460,A3,TD,4-5yr,4.685833333333333,94,73,17,4.294117647058823,0.5068493150684932,21.291666666666664,0.030927835051546393,0.08498865192912072
460_B1,460,B1,TD,4-5yr,4.685833333333333,44,36,7,5.142857142857143,0.6666666666666666,27.867469879518076,0.06382978723404255,0.049882229115973925
460_B2,460,B2,TD,4-5yr,4.685833333333333,86,72,14,5.142857142857143,0.5833333333333334,21.444444444444443,0.033707865168539325,0.06129177818030192
460_B3,460,B3,TD,4-5yr,4.685833333333333,140,119,18,6.611111111111111,0.5042016806722689,23.887326290414066,0.0070921985815602835,0.0784847124521108
