doc_id,author_id,age_months,age_bin,sex,word_count,token_count,contrast_W4,n_sent_W4,contrast_W16,n_sent_W16,contrast_W32,n_sent_W32,contrast_W64,n_sent_W64,contrast_W128,n_sent_W128
ECSC_2007_2_72M_2007_YR2,2007,72,5-6y,M,643,729,1.7482064176421892,3,1.2827753397657133,3,0.6464883982712398,3,1.8502507349680108,3,2.5870747447943088,3.0
ECSC_3002_1_73F_3002_YR1,3002,73,5-6y,F,181,198,-0.5127737208642923,3,2.359091982673249,3,1.4026856451217975,3,1.4442104946745857,3,,
ECSC_2004_1_73M_2004_YR1,2004,73,5-6y,M,304,343,-0.5522402903036966,3,-1.2685250873744454,3,-0.6244619803200581,3,-0.7660012592433345,3,-0.4505859933178648,3.0
ECSC_2004_2_73M_2004_YR2,2004,73,5-6y,M,253,287,0.2961133993123174,3,0.30335869464715043,3,0.9161041631744684,3,1.2426319073387992,3,1.3189055627450308,3.0
ECSC_4010_1_73M_4010_YR1,4010,73,5-6y,M,347,388,1.5779605142187956,3,1.5509947651151972,3,1.0448085069290678,3,1.7769937168545402,3,1.3524277368415565,3.0
ECSC_1092_1_74F_1092_YR1,1092,74,5-6y,F,499,555,0.053487496489362386,3,-0.057967839098157205,3,-0.3350772335374423,3,0.7382083415853521,3,0.44831770005368937,3.0
ECSC_1092_2_74F_1092_YR2,1092,74,5-6y,F,603,675,0.23190781331313112,3,1.006977037520426,3,1.3529162782163775,3,2.506393417568725,3,1.9070285522870563,3.0
ECSC_1092_3_74F_1092_YR3,1092,74,5-6y,F,515,568,1.912923319316792,3,0.74000734854073,3,1.0932552721964324,3,0.04153083115177406,3,1.0944011566046081,3.0
ECSC_2018_1_74F_2018_YR1,2018,74,5-6y,F,150,185,-0.1756868136446649,3,1.5806825009936325,3,1.6460648392944084,3,2.184854084295998,3,1.608452261687831,3.0
ECSC_2018_2_74F_2018_YR2,2018,74,5-6y,F,218,239,0.3526942021042314,3,0.639108777323011,3,1.8804047801616195,3,2.334555709278217,3,1.630120954685264,3.0
ECSC_2029_1_74F_2029_YR1,2029,74,5-6y,F,412,451,0.2984041103963102,3,1.267089606617035,3,-0.8926033316646079,3,0.001943467125625246,3,0.4246192181978305,3.0
ECSC_2029_2_74F_2029_YR2,2029,74,5-6y,F,401,449,1.5528816407583745,3,2.311728600180816,3,3.1151495985311137,3,1.780338356562816,3,2.535778805861108,3.0
ECSC_1072_1_74M_1072_YR1,1072,74,5-6y,M,337,396,-0.429663545941037,3,-1.1326335714478133,3,0.7313593759112855,3,-0.8214894169138116,3,0.27962395832087616,3.0
ECSC_1072_2_74M_1072_YR2,1072,74,5-6y,M,290,353,-0.04144828427763662,3,0.3528380625287492,3,1.6449795019642737,3,2.406519762292742,3,-0.5758197466065401,3.0
ECSC_1072_3_74M_1072_YR3,1072,74,5-6y,M,214,272,0.02717167113250844,3,0.6780831041468406,3,0.7390546960064707,3,0.13959731053901797,3,0.6304558533532045,3.0
ECSC_1025_1_75F_1025_YR1,1025,75,5-6y,F,226,256,1.3874085827191205,3,1.7501236106050204,3,1.9164025571258716,3,1.6642649206740003,3,2.3889858234627996,3.0
ECSC_1025_2_75F_1025_YR2,1025,75,5-6y,F,489,541,-0.22576463653292778,3,0.21985315391506632,3,-0.6751798400724086,3,1.336074405833438,3,1.044567735201295,3.0
ECSC_1025_3_75F_1025_YR3,1025,75,5-6y,F,157,183,-0.8545966911204498,3,-0.2809930896402093,3,1.4787503596533014,3,0.5336272429609332,3,1.436564856005257,2.0
ECSC_1042_1_75F_1042_YR1,1042,75,5-6y,F,285,305,0.9671544887189643,3,0.8635783626223907,3,0.8374282023201465,3,0.917541562917501,3,2.4752696976275206,3.0
ECSC_1042_2_75F_1042_YR2,1042,75,5-6y,F,523,590,0.7575550038881061,3,0.04721238941031366,3,2.2746269532791343,3,2.00206285462194,3,1.1722143931375575,3.0
ECSC_1042_3_75F_1042_YR3,1042,75,5-6y,F,357,396,2.3754998484493366,3,2.0930221993470646,3,1.7723815452181721,3,1.2341854834010666,3,2.135979743415058,3.0
ECSC_2020_1_75F_2020_YR1,2020,75,5-6y,F,384,465,-0.018150653451721028,3,0.3242393481903629,3,0.30750628117740475,3,1.0090298195954839,3,0.39569975328343915,3.0
ECSC_2020_2_75F_2020_YR2,2020,75,5-6y,F,278,319,-0.5439061011940324,3,-0.8733333273748904,3,1.246235715347038,3,0.14647041291336754,3,0.36231893549795297,3.0
ECSC_2012_1_75M_2012_YR1,2012,75,5-6y,M,213,246,2.858177535954981,3,1.8312775715989702,3,2.4053627461136524,3,2.652634232605671,3,,
ECSC_4003_1_75M_4003_YR1,4003,75,5-6y,M,656,765,-0.04424318700244991,3,0.14173386689945042,3,0.3243626033044544,3,1.5325437200961787,3,0.9175177128552505,3.0
ECSC_1014_1_76F_1014_YR1,1014,76,5-6y,F,296,343,-0.1329235703074377,3,0.6879498499470968,3,0.426758061850361,3,0.7093672425596599,3,0.19994392490368904,3.0
ECSC_1014_2_76F_1014_YR2,1014,76,5-6y,F,654,734,0.15482241865188362,3,-0.5066498220532168,3,-0.04127929355619216,3,-0.10362866653242449,3,-0.09231634539513885,3.0
ECSC_1014_3_76F_1014_YR3,1014,76,5-6y,F,656,705,-0.33635898226979516,3,0.7424144995426282,3,-0.5570896484696809,3,0.08749787181922046,3,-0.09622937212490283,3.0
ECSC_1023_2_76F_1023_YR2,1023,76,5-6y,F,352,434,1.6036890139976887,3,0.9854882220009703,3,1.547112859449318,3,1.5815434436433986,3,2.261255692638898,3.0
ECSC_1023_3_76F_1023_YR3,1023,76,5-6y,F,247,298,1.1730457771199572,3,2.0494104583975497,3,1.7073787317297786,3,0.5949330515476078,3,1.1500205369742889,3.0
ECSC_1065_1_76F_1065_YR1,1065,76,5-6y,F,431,491,0.2196828756858523,3,-0.5114685476046804,3,0.8427244394223395,3,1.133833808885619,3,2.0748221394205775,3.0
ECSC_1065_2_76F_1065_YR2,1065,76,5-6y,F,438,501,0.14226499664340211,3,0.9942060367599715,3,1.0858974007609643,3,1.934764860346677,3,1.243706851623864,3.0
ECSC_1065_3_76F_1065_YR3,1065,76,5-6y,F,403,442,1.3173585361486804,3,1.9032814517446655,3,1.6790543774929265,3,0.879201863034032,3,0.8071864068539162,3.0
