doc_id,child_id,narrative_idx,age_months,age_group,word_count,n_tokens,baseline_nll,max_ctx_used,half_life,early_slope,early_drop_pct,late_benefit_pct,total_benefit,ppl_min_ctx,ppl_max_ctx
PetMcc_33_N7,33,7,73,6yo,141,173,2.8150501251220703,96,22.636223743647783,1.2580802016625554,70.30087934492339,9.620213359049009,42.9495692248147,56.3212011061904,13.3716318813757
PetMcc_33_N8,33,8,73,6yo,288,330,2.767533151726974,96,25.809170907156343,1.0378405936286328,70.29957840552932,8.159386928190468,35.43147030470395,59.464766308564435,24.033296003860485
PetMcc_33_N9,33,9,73,6yo,97,117,4.393940172697368,64,15.6136966393844,6.9260280022963014,88.40675672351132,,188.02258810938218,222.7190584540209,34.69647034463874
PetMcc_34_N2,34,2,75,6yo,61,70,3.184117367393092,32,17.875172236630355,0.24433284161668048,100.00000000000001,,5.863988198800332,17.622329766329365,11.758341567529033
PetMcc_34_N3,34,3,75,6yo,46,57,3.8491243061266447,24,12.0,,,,2.7250263159363115,19.109283534473796,16.384257218537485
PetMcc_34_N4,34,4,75,6yo,138,167,2.6470626027960527,96,14.14890707339002,0.21185326008891484,90.32220773343889,0.0,5.629267009437362,14.291639888512888,8.662372879075527
PetMcc_34_N5,34,5,75,6yo,186,246,2.9890200966282894,96,14.938356856935107,0.2441632691059441,80.37917750406561,11.275786451650195,7.2903438931634525,24.223295397449107,16.932951504285654
PetMcc_34_N6,34,6,75,6yo,205,239,3.8831722861842106,96,12.668156089356824,0.7039355282944518,92.30906083401699,1.6489407304376618,18.302052394883685,24.90330390063656,6.601251505752873
PetMcc_34_N7,34,7,75,6yo,92,110,5.4375770970394735,64,21.231561207623173,0.6629945989831593,77.28031487654056,,20.589810485394487,43.31485973162561,22.725049246231123
PetMcc_34_N8,34,8,75,6yo,93,105,3.280841225071957,64,15.67655662653469,0.8810959473341092,87.76208358276422,,24.095032698348096,43.01144274893286,18.916410050584762
PetMcc_34_N9,34,9,75,6yo,233,278,2.2473878860473633,96,41.256214667239405,0.006781464418340081,3.230653363262881,15.925332848218206,5.037839958038186,19.251256995801395,14.21341703776321
