doc_id,score,grade,ell,token_count,n_curves,alpha,intercept,r,p,benefit_at_1,benefit_total,benefit_short,benefit_long,ppl_drop_intact
0BFAE39E5020,5,8.0,non_ELL,796,3,-0.8208693758798877,1.665284563005168,-0.8538909568922018,0.006968260381675543,5.2871775708519655,22.928750325925314,5.482891076903687,9.984146680507024,24.067817742472386
0C74C8D5BA24,3,10.0,non_ELL,489,3,-1.1829039625447106,2.1009625185968153,-0.838861772510308,0.009236697091644904,8.174033786928788,26.206458328602984,16.166166119511296,9.50627977775912,32.42341655227471
0DB421BA1BFD,6,11.0,non_ELL,913,3,-0.949204987413455,1.1890399639808171,-0.8832083558951128,0.00364197018832754,3.2839270053420977,7.69805645885538,5.105355968171411,1.1615052116071514,10.65255421561865
0E3C2F922C3B,2,9.0,non_ELL,357,3,-1.6323302578652639,2.436613655461844,-0.7823183245196849,0.03761739267936426,11.434254782316414,5.255455394091033,-2.329999953903574,0.958781496926818,10.986694759451652
0E89829FDE70,5,8.0,non_ELL,716,3,-1.1214700060992848,1.8719925652186489,-0.9376122038873442,0.001805224869427718,6.501237641873412,11.64391408886725,6.295995653891577,2.5271274773965207,14.636279247608536
0F10DC1AE015,6,8.0,non_ELL,1049,3,-1.1332366859504057,1.4783286159963176,-0.9586729470055667,0.0006521634522233264,4.385609514262236,6.513443633143015,1.3300739654648552,2.4820406336533507,9.775373089952442
0F1830D67AF9,5,11.0,non_ELL,731,3,-1.4773970355112935,2.718261306441536,-0.9033587642427054,0.013558000887709245,15.15395124863532,6.87287155644489,1.0767376940016042,7.585369033174045,17.757447773340623
0F5CE6695045,3,8.0,non_ELL,344,3,-1.0386476496684935,2.8206814199169026,-0.7851898548167512,0.007122405387840993,16.788286648239204,65.79501999334695,22.08763692633167,21.130648670302584,50.32676289910499
0F8DF7342EF8,6,11.0,non_ELL,1169,3,-1.0363705342050267,2.1217918611028965,-0.9295226615314571,9.907512950231261e-05,8.346079111554234,30.230567018133133,8.301619100936986,12.092671299247975,22.56137863217163
10B28752BA07,4,10.0,non_ELL,679,3,-0.9366748658329259,2.375157159939061,-0.9590318910112652,4.4022183660090005e-05,10.75270294743144,37.744732975865105,6.695361019853216,25.81165269304974,30.886057277013684
112AA24D20BC,4,8.0,ELL,556,3,-0.5933697759275601,0.9322655581540864,-0.6568061082457304,0.07682942621306092,2.5402577649724516,23.73263948270236,1.3413832336536444,19.719303131541274,14.67675900814824
117F225ADDC2,3,8.0,non_ELL,511,3,-0.7725616678550624,0.8235500814899491,-0.4283447777183981,0.25003474850434054,2.2785746215686404,21.754935767163666,4.86436090928656,10.340855238029311,30.810832188532885
11C0555D3ACA,4,11.0,non_ELL,457,3,-1.075927622468801,1.0977400345859383,-0.8227938171897885,0.00645535962474673,2.9973843786625167,10.863133841348827,5.008740947692473,3.406631979516387,8.353158048922708
12BCA50767E9,6,11.0,non_ELL,930,3,-0.4272392406910217,0.30884487403228433,-0.3571731258158655,0.43156947806004864,1.3618510956476404,20.08443529138381,10.67236101151478,4.841527589056639,28.32373384401573
130B05555BA1,2,6.0,non_ELL,252,3,-1.0761078748984834,1.2672749541634978,-0.7714877777846822,0.02495212405994956,3.5511622851274476,10.472226573382407,4.344626629527159,6.746196370672683,11.130927917848144
1385E7A90736,5,8.0,non_ELL,745,3,-1.1670130453599115,2.5614712730360227,-0.7666606531192088,0.01594535317906848,12.954863442349081,30.637925801751507,3.253182586874175,19.16369563045439,29.91971717920744
13AF1E268C99,5,11.0,non_ELL,531,3,-1.6199720065717231,3.7000900960285614,-0.9808449728808185,1.7319212046610185e-05,40.450948665722514,21.36630642991712,5.755566736316723,4.634694133858289,29.73435230256514
13D42BBC6B56,3,10.0,non_ELL,366,3,-1.0700308377921086,1.9748808135875264,-0.7551612986334557,0.03028482996153028,7.205760773862294,21.104820981180985,3.521155797035611,16.48086368260026,26.93465739487086
13D9D5B7BD53,3,10.0,non_ELL,266,3,-1.007541488137056,1.2852079142306776,-0.6289469633835745,0.09481212350256167,3.6154195762583674,14.8073662512172,11.461314333115023,1.9398716429701253,23.534596403369516
148CA62EF887,3,9.0,ELL,652,3,-1.0703879648339216,2.1238635476900805,-0.9431322032922573,0.0014363461791489177,8.363387494286929,14.581745187073041,6.6302664033730885,4.8908577852038295,24.719903460396658
14A542270754,6,11.0,non_ELL,1285,3,-0.6820187132596356,1.3977811817137036,-0.772867891114236,0.04160560226774231,4.0462121898130174,21.97507742273876,11.454964419454889,7.208817103116498,17.99607255442282
14D67698786D,4,8.0,non_ELL,416,3,-0.759573515162115,2.1270462117714697,-0.9750099001610031,3.8288503845510374e-05,8.390047750078738,42.46839611507784,1.4032986334892286,29.015814983766056,44.998854955008646
150BD0070ED0,2,10.0,non_ELL,248,3,-0.9011942896185636,0.6241962290934073,-0.7418131649377226,0.05628805911596557,1.866744919011597,4.078205268076934,3.080408761904785,4.272756381777022,15.038532969474607
1542F0A93AA8,5,10.0,non_ELL,535,3,-1.063713399893309,1.8555909694262445,-0.6647012670008628,0.07213040652574425,6.395476665222585,14.107708447810275,3.354238943395419,6.331144053471126,26.544784163349625
154DA8FC14D7,4,8.0,non_ELL,500,3,-0.6819961431594626,-0.251377098966979,-0.6522916615178039,0.05689747055681601,0.777729035438206,5.33683510832646,-0.7566519147818571,2.817116024976397,7.370484665882504
1590FD8BEA8E,5,8.0,non_ELL,918,3,-0.9703549201812369,2.122666536895512,-0.97457393904311,4.0314233738752e-05,8.353382418463626,24.234229608673747,4.452906019731145,12.249587443983613,17.825414023595073
166AAEE811BD,4,9.0,non_ELL,716,3,-0.7933107881503888,2.050988736022564,-0.8212679442405634,0.006641483826607875,7.775585308147869,42.48378315529218,9.514703099627653,41.86662959219236,62.85298808888465
169B43A80D26,2,6.0,non_ELL,241,3,-1.1466381169707625,1.511432869191811,-0.9429272362603744,0.00013825813563570795,4.5332216565767895,10.677363051738363,5.547395439758553,7.1658418645509325,11.248577564134907
17C8110957BA,4,10.0,non_ELL,939,3,-0.9150855352598686,1.5409349302251636,-0.69351659565323,0.03827781450378977,4.668953376702366,23.821659369638283,11.230096637557399,5.7284838016792925,26.980327833415622
18DD6D2A09F2,2,8.0,non_ELL,420,3,-2.0964753543092636,5.678716925527447,-0.9226782617822709,0.008736836949986707,292.5737950225769,23.835945792106468,-8.7774080326571,15.261613057055467,21.829579767982107
190A7CF741CE,3,8.0,non_ELL,461,3,-1.1364525802629102,1.7486769582424637,-0.9022494688671413,0.0021672134821548827,5.746994130688787,13.372235271988613,7.029600264439807,6.2228456632209515,15.851796874844437
1927C4B37295,5,11.0,non_ELL,548,3,-1.5221722170753036,2.723847136820112,-0.9464722033697655,0.0012368969455015834,15.23883550369111,12.85648505916273,9.523727192775677,1.8996099670100985,22.862235952048373
1A067085A035,5,11.0,non_ELL,831,3,-0.10729524586552994,-0.2703211535317958,-0.12462557324251182,0.790068231539782,0.7631343716792568,14.58145226929707,-5.107798697667022,18.368152047115146,13.769902337789926
1AA1968CD760,2,6.0,non_ELL,245,3,-0.40016057763505264,0.3237466975528631,-0.4553796285732884,0.18599481490236583,1.382297123526112,24.600856396224888,0.8165192218679991,20.53929947368972,31.278599011768296
1AA55FB101FD,3,11.0,ELL,541,3,-0.5282654491848586,0.24143623482328058,-0.5277081199787099,0.14424230588405257,1.273076274395695,14.5765200581673,2.1809021244695685,7.176781129610525,21.57513470010742
1B4AFEB6E86E,5,,UNK,860,3,-0.8151042012124448,1.497100445074823,-0.6953064834401653,0.037574342954810394,4.468712988243706,31.127583709901373,5.700272964910095,20.282343549992387,20.903861335407406
1D222E2831FC,3,8.0,non_ELL,320,3,-0.944203399865141,1.7081074623127144,-0.8072171135203526,0.004754210935725416,5.518507604950275,17.65063911688438,8.344637534526365,1.335664479993948,12.153775278668235
1DD339DE06D4,2,8.0,non_ELL,397,3,-1.6475876118047388,2.626259913983649,-0.9666613478024019,0.00038284501291836504,13.821977723300229,11.187073635156803,11.932889372206784,2.3595610796851414,25.87979125344773
1E5EFF5360E2,2,8.0,non_ELL,255,3,-1.0529802116604574,1.8018225234738274,-0.8956719905515762,0.002621358142795007,6.0606831422615155,11.969006933162538,4.410325506380659,0.2638962978792776,21.197228697446683
1EAABAD33B93,2,6.0,non_ELL,203,3,-1.4998126499971787,3.8046270986779827,-0.9129788227767219,0.0005873503311861403,44.90850055101532,54.429176014251965,28.063663612070805,16.378150441558702,69.96215724311138
1F0FE892EC33,4,8.0,non_ELL,558,3,-1.1447640725551544,1.2849075395376663,-0.841892250006054,0.008746325358111573,3.6143337587972493,7.747125871955972,2.0374928547275566,2.9399012598504592,9.602166163583629
201EB1D0F1D5,2,8.0,non_ELL,230,3,-0.676567805716393,0.8683904717505521,-0.7201141893555197,0.018839838868075845,2.383072143161708,17.90730342604819,5.516920157600946,9.325021950642252,14.313724691795505
203C3C0F1250,4,10.0,non_ELL,511,3,-1.8958399583603451,3.2414255027216545,-0.9261910074880378,0.0003344537421917244,25.570146092529903,13.201933805649324,3.6165280668982867,5.521957561621772,13.363229340925058
2052CF966A42,4,11.0,non_ELL,450,3,-0.6652549879276463,1.4779886008687395,-0.8348146471398086,0.009918315316745058,4.384118594165794,30.172441107216205,11.574633712152984,19.48594511405531,21.78353085515028
20897B41AFB8,6,,UNK,1572,3,-0.8640392682059608,1.0211304152184757,-0.7026417356490391,0.03477897206326632,2.7763313980447206,15.73145414192489,1.898708270191758,7.9880190297741525,17.506108452616417
20BD2EB82D69,2,9.0,non_ELL,256,3,-1.5670235539994155,3.7748174538201518,-0.932976464617666,0.0002402637734393501,43.58955048348759,38.22050285340296,7.998890017235652,1.8435597315828787,56.92336015014199
214A19342774,4,9.0,non_ELL,863,3,-1.1901444717862022,1.7831077634807149,-0.8734998135235251,0.002090252540312521,5.948313675353675,13.220565343566108,3.1033763334854214,7.252446761687208,20.598843525027306
