doc_id,score,grade,ell,token_count,alpha,r,p,n_curves
43ADEC748E1A,2,10.0,non_ELL,317,-0.9499422393889669,-0.7213879836491541,0.04339947901227466,3
43F3EF404AD6,4,9.0,non_ELL,740,-0.7115483942427303,-0.6496923345308274,0.11423592228894931,3
451D81265E8E,6,9.0,non_ELL,963,-1.434577307223858,-0.8379977878746797,0.00937962751991435,3
453195490AEC,3,8.0,non_ELL,424,-0.9396806937084006,-0.5849611025989944,0.0980177675856536,3
459EDDA36F73,6,11.0,non_ELL,745,-0.7054559515652578,-0.716976789505734,0.04532724082170669,3
45FB831B9EFA,5,,UNK,609,-0.9517345321240634,-0.7727862588404265,0.024555134004817854,3
46284DF2F31C,5,11.0,non_ELL,713,-0.9793361957092128,-0.7286856533919503,0.010970740647217122,3
467C029B1A48,5,10.0,non_ELL,571,-0.8069998471623322,-0.7796770325799297,0.022513944277311442,3
4810EA26495B,3,12.0,ELL,376,-0.3354561813126377,-0.33325078880026904,0.46514008164292103,3
490C899F285D,3,8.0,non_ELL,322,-0.7468335325869607,-0.550403747606585,0.1574775222020145,3
49ABE8B9E22F,4,8.0,non_ELL,503,-0.9223407842914114,-0.8386097542581391,0.004730655950805987,3
49D008420FDE,3,,UNK,498,-1.1740950534005288,-0.9590693357519853,0.0024786929482829003,3
4A3AF3695873,4,11.0,non_ELL,563,-1.111863450044523,-0.7593540885897063,0.028854384610433978,3
4A5D0595AB31,2,8.0,non_ELL,281,-0.9052660462260668,-0.6487054213382616,0.11497319607304206,3
4A926F657511,6,11.0,non_ELL,1151,-1.0302118471101287,-0.8675877972524157,0.005242833292417093,3
4BE21E5EFBA9,4,8.0,non_ELL,477,-1.27806351682127,-0.9113332329614711,0.00024268716470410962,3
4BF47B5D416B,5,11.0,non_ELL,1064,-1.000932454539613,-0.7445039064865209,0.03411427737085328,3
4C0EB60473E1,2,10.0,ELL,323,-0.16224519704233095,-0.10862980719791755,0.8376962286932184,3
4C2D66D7EF01,5,8.0,non_ELL,813,-1.0249289309501342,-0.8782003868691153,0.0008291438688103687,3
4D0233F6C1E8,5,8.0,non_ELL,785,-0.7217534507187241,-0.7622147742677798,0.027902761165070095,3
4DE2EAF8914F,4,11.0,non_ELL,786,-1.0303156119762076,-0.9133158912453458,0.0002222433201421039,3
4E078101C9DD,3,11.0,non_ELL,649,-1.572781875254849,-0.7887359436787604,0.01999581443622219,3
4E1C636ABEAD,2,,UNK,430,-1.3608934354849076,-0.871672796388955,0.004787757364840779,3
4F7F24918F42,2,11.0,ELL,201,-0.9925631754571009,-0.8335829540358676,0.01979654904885919,3
4F97C516C19D,2,6.0,non_ELL,223,-0.8438283810678469,-0.8837856145781431,0.0006920359110379521,3
4FF5D3885FD4,3,8.0,non_ELL,318,-1.2013574658484276,-0.8994033832765564,0.002356862127768447,3
5154CFF4823F,3,6.0,non_ELL,413,-0.5872174613821177,-0.7381669353366711,0.03652491031756203,3
51AFD7A4F103,5,8.0,non_ELL,578,-0.754319968943612,-0.8487817117972305,0.00380639834074005,3
51C3D7E06ED2,6,11.0,non_ELL,833,-0.8010004328406252,-0.8007473585937733,0.005380103892754122,3
52ACF55ECAAA,5,10.0,non_ELL,832,-0.9412899058563645,-0.787811428321869,0.011692336752553843,3
52BC0B28158A,4,10.0,non_ELL,527,-1.0411803035511438,-0.9284111412395992,0.000301213931169009,3
538E02E87EE2,2,8.0,non_ELL,351,-0.3420174541979287,-0.4932295968096046,0.21423627086066804,3
54012A1EDB5A,4,10.0,non_ELL,750,-0.4524932747875932,-0.5400880962139631,0.13334178730952392,3
54E67CFD7039,6,11.0,non_ELL,940,-1.038032318417546,-0.855970909347249,0.003233545739584049,3
55F5CBF45A7F,6,11.0,non_ELL,934,-1.021586107568057,-0.9105634072006807,0.0016706655931405954,3
56A634A766A3,5,8.0,non_ELL,656,-1.1695938503384449,-0.7807020954412075,0.013023987609529317,3
572D5C1F21BC,5,11.0,non_ELL,774,-1.3832953616639458,-0.6527476337318657,0.07931280972853472,3
573A550002C0,2,10.0,ELL,396,-1.2362172304596524,-0.9186526735360078,0.0034683150537439668,3
575829738D7F,2,10.0,ELL,273,-1.1740319094819334,-0.961781853791306,0.002163028827062295,3
57B41EC7CB9A,3,9.0,non_ELL,591,-1.0116095733365198,-0.6551570442256773,0.07783291695336282,3
58567312BDAB,4,12.0,ELL,430,-1.2070997805461872,-0.9714117712797978,0.0002613593484511895,3
