doc_id,age_months,age_group,token_count,baseline_nll,tail_share_lag33_128,tail_share_lag49_128,tail_share_lag65_128,gini,top1_share,top3_share,effective_support,n_positive_bins
ECSC_4050_1_64F_4050_YR1,64,5yr,340,2.7239943891763687,0.19365360161936696,0.09366886138483066,0.060435583530392994,0.31104658547984276,0.19333311840320183,0.4688481091225521,9.395852279106936,11
ECSC_1032_1_64M_1032_YR1,64,5yr,214,2.876895713806152,0.2021795936545526,0.14406648931907814,0.10595799166047755,0.31921417378375105,0.21472157693275729,0.5108164813846965,9.26991755204407,11
ECSC_1032_2_64M_1032_YR2,64,5yr,181,3.144519591331482,0.05811895994155291,0.004805621092292579,0.01009861462524004,0.4742513131612345,0.25142219298592156,0.5957471968136158,7.29113395959219,9
ECSC_1032_3_64M_1032_YR3,64,5yr,478,2.486517232656479,0.2624675738342415,0.17392076029214198,0.1363206090328832,0.22725105002633805,0.1589154237385032,0.4135024299782283,10.125701290117014,11
ECSC_1055_1_64M_1055_YR1,64,5yr,306,2.28556170463562,0.2571100809098799,0.1667686287860983,0.07203631614095139,0.33206705266684855,0.23941954718835448,0.4850108007939028,8.85797319886685,11
ECSC_1055_2_64M_1055_YR2,64,5yr,265,3.0393567800521852,0.24524219468296746,0.19993461553949685,0.13792830337569123,0.28340938778860636,0.18758118764607684,0.4637420368224637,9.660970317483441,11
ECSC_1055_3_64M_1055_YR3,64,5yr,354,2.7540782928466796,0.13060797005363223,0.09082985466525503,0.07058796611067515,0.37929540700558984,0.21441889341042478,0.5208255118245542,8.660514196116328,11
ECSC_2005_1_64M_2005_YR1,64,5yr,107,2.8109102845191956,0.31556751951646994,0.21142877933543563,0.0,0.45579798214588263,0.20759130462172357,0.5406253477708647,6.910873747184538,8
ECSC_4001_1_64M_4001_YR1,64,5yr,130,2.9388824462890626,0.09422079856035148,0.021137940560560547,0.04510188971862322,0.41716310352562,0.2178574733814202,0.5197245638755019,7.802236221699658,9
ECSC_4002_1_64M_4002_YR1,64,5yr,333,2.592317748069763,0.20095469121992346,0.15071625130923766,0.13369680041598406,0.27532181730564265,0.1918776256667018,0.44464061000482563,9.65464180394721,11
ECSC_4012_1_65F_4012_YR1,65,5yr,341,2.5505818843841555,0.15763703606584162,0.11245123347088018,0.04856024494750614,0.3059561925687917,0.17383117987727265,0.4543508786413659,9.358844926702293,11
ECSC_1020_1_65M_1020_YR1,65,5yr,227,2.727734777331352,0.15275412218107157,0.09850375558744194,0.05710396672926496,0.33354275383633913,0.18567142718793583,0.5079279174854278,9.162434128367368,11
ECSC_1020_2_65M_1020_YR2,65,5yr,437,2.9435335248708725,0.18269376358308728,0.08796063316557272,0.057979246560462314,0.36393819124594695,0.22409528149762437,0.5236710589895396,8.75815213065304,11
ECSC_1020_3_65M_1020_YR3,65,5yr,337,2.73039990067482,0.19019853884059085,0.09353848885635513,0.07620604754451107,0.33853391957338874,0.19883911722936373,0.49069333730679965,9.094448612408554,11
